"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"VP01_01"	"PR01_01"	"PR02_01"	"PR03_01"	"PR04_01"	"PR05_01"	"PR06_01"	"PR07_01"	"PR08_01"	"PR09_01"	"PR10_01"	"PR11_01"	"PR12_01"	"PR13_01"	"PR14_01"	"PR15_01"	"PR16_01"	"PR17_01"	"PR18_01"	"PR19_01"	"PR20_01"	"FR01_01"	"FR02_01"	"FR03_01"	"FR04_01"	"FR05_01"	"FR06_01"	"FR07_01"	"FR08_01"	"FR09_01"	"FR10_01"	"FR11_01"	"FR12_01"	"FR13_01"	"FR14_01"	"FR15_01"	"FR16_01"	"FR17_01"	"FR18_01"	"FR19_01"	"FR20_01"	"SD01_01"	"SD02"	"SV01_01"	"SV01_02"	"SV01_03"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
70			"base"	"interview"	2019-10-23 08:30:15	"35"	7	9	8	6	8	2	1	4	5	2	6	6	7	2	2	5	6	3	8	4	6	8	8	8	8	1	4	2	3	4	5	6	8	3	6	7	5	2	8	7	21	2	"P02,P20,P15,P16,P04,P19,P11,P01,P13,P03,P17,P14,P18,P08,P12,P06,P07,P09,P10,P05"	"7,9,8,6,8,2,1,4,5,2,6,6,7,2,2,5,6,3,8,4"	"6,8,8,8,8,1,4,2,3,4,5,6,8,3,6,7,5,2,8,7"	7	23	226	1	6	263		2019-10-23 08:34:39	T	F	5	5	0	0	1.28	33
71			"base"	"interview"	2019-10-23 08:30:47	"36"	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P04,P06,P05,P14,P16,P10,P09,P12,P19,P02,P13,P08,P15,P07,P01,P18,P11,P03,P17,P20"	"5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	6	16	178	2	9	211		2019-10-23 08:34:19	T	F	5	5	0	0	1.11	10
72			"base"	"interview"	2019-10-23 08:35:08	"37"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3	3	2	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	"P17,P16,P09,P15,P12,P08,P10,P20,P07,P03,P06,P02,P05,P11,P18,P13,P04,P14,P19,P01"	"5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,2,4,4"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	13	138	3	7	166		2019-10-23 08:37:54	T	F	5	5	0	0	1.15	8
73			"base"	"interview"	2019-10-23 09:18:24	"38"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	1	"P05,P20,P03,P17,P10,P16,P15,P04,P11,P02,P06,P01,P12,P09,P13,P07,P18,P14,P19,P08"	"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	8	18	93	1	10	130		2019-10-23 09:20:34	T	F	5	5	0	0	1.38	36
74			"base"	"interview"	2019-10-23 12:47:22	"39"	4	3	6	2	4	1	5	7	3	5	4	6	5	6	6	7	2	4	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P14,P19,P17,P20,P11,P18,P02,P12,P08,P13,P15,P03,P06,P10,P16,P09,P04,P07,P05,P01"	"4,3,6,2,4,1,5,7,3,5,4,6,5,6,6,7,2,4,5,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	12	127	9	8	156		2019-10-23 12:50:03	T	F	5	5	0	0	0.98	5
75			"base"	"interview"	2019-10-23 12:48:34	"40"	3	4	2	6	6	5	3	2	6	7	5	6	6	5	5	2	5	4	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P18,P11,P04,P14,P15,P19,P06,P08,P07,P03,P20,P10,P02,P16,P13,P12,P01,P05,P09,P17"	"3,4,2,6,6,5,3,2,6,7,5,6,6,5,5,2,5,4,5,7"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	13	147	8	8	181		2019-10-23 12:51:35	T	F	5	5	0	0	0.94	2
76			"base"	"interview"	2019-10-23 13:21:18	"41"	7	5	4	5	2	2	3	1	1	2	1	4	4	2	5	8	4	3	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P12,P07,P10,P09,P18,P01,P05,P13,P14,P15,P06,P08,P02,P19,P03,P17,P16,P04,P11,P20"	"7,5,4,5,2,2,3,1,1,2,1,4,4,2,5,8,4,3,5,2"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	6	19	191	4	38	228		2019-10-23 13:25:36	T	F	5	5	0	0	0.74	0
77			"base"	"interview"	2019-10-23 14:27:53	"43"	5	5	4	4	6	3	4	2	3	2	2	2	1	2	2	4	3	2	5	2	4	4	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P02,P01,P10,P06,P15,P05,P20,P03,P14,P04,P09,P12,P19,P16,P13,P17,P07,P11,P18,P08"	"5,5,4,4,6,3,4,2,3,2,2,2,1,2,2,4,3,2,5,2"	"4,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1"	9	24	123	4	6	166		2019-10-23 14:30:39	T	F	5	5	0	0	0.95	6
78			"base"	"interview"	2019-10-23 14:28:34	"44"	2	3	3	5	4	6	5	4	5	6	5	4	7	6	5	4	2	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	"P13,P16,P08,P03,P15,P05,P11,P12,P10,P09,P19,P18,P17,P20,P02,P07,P14,P06,P04,P01"	"2,3,3,5,4,6,5,4,5,6,5,4,7,6,5,4,2,4,3,3"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	3	12	161	2	6	184		2019-10-23 14:31:38	T	F	5	5	0	0	1.47	24
79			"base"	"interview"	2019-10-23 14:28:52	"42"	4	2	3	6	1	1	8	6	7	8	4	8	8	3	7	6	3	4	4	4	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	"P17,P15,P08,P05,P20,P04,P07,P09,P02,P06,P14,P12,P10,P18,P03,P11,P16,P13,P19,P01"	"4,2,3,6,1,1,8,6,7,8,4,8,8,3,7,6,3,4,4,4"	"1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	7	10	141	2	7	167		2019-10-23 14:31:39	T	F	5	5	0	0	1.27	15
80			"base"	"interview"	2019-10-23 14:35:59	"45"	6	6	6	6	6	5	4	6	4	5	5	6	3	5	4	4	6	4	6	7	2	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20	1	"P16,P18,P02,P08,P20,P04,P19,P09,P01,P05,P14,P10,P11,P06,P13,P07,P12,P17,P15,P03"	"6,6,6,6,6,5,4,6,4,5,5,6,3,5,4,4,6,4,6,7"	"2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	4	23	172	3	7	209		2019-10-23 14:39:28	T	F	5	5	0	0	1.08	10
81			"base"	"interview"	2019-10-23 16:25:24	"46"	7	8	6	3	1	1	6	5	1	6	3	2	1	2	4	6	3	1	6	3	1	2	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P07,P17,P18,P20,P06,P19,P09,P14,P01,P03,P16,P04,P02,P05,P15,P12,P10,P13,P08,P11"	"7,8,6,3,1,1,6,5,1,6,3,2,1,2,4,6,3,1,6,3"	"1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	18	220	3	10	256		2019-10-23 16:29:40	T	F	5	5	0	0	0.95	5
83			"base"	"interview"	2019-10-23 16:27:10	"47"	6	4	1	1	2	8	6	2	6	1	4	7	1	5	2	3	5	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P10,P13,P17,P16,P08,P06,P09,P20,P14,P19,P11,P18,P04,P01,P12,P07,P05,P03,P02,P15"	"6,4,1,1,2,8,6,2,6,1,4,7,1,5,2,3,5,5,4,4"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	16	157	6	7	191		2019-10-23 16:30:22	T	F	5	5	0	0	0.96	3
85			"base"	"interview"	2019-10-23 16:28:52	"48"	5	6	5	4	6	6	7	6	6	6	6	4	6	4	6	4	4	6	7	3	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	25	1	"P05,P13,P06,P14,P04,P20,P17,P11,P10,P12,P03,P07,P16,P18,P01,P08,P15,P02,P09,P19"	"5,6,5,4,6,6,7,6,6,6,6,4,6,4,6,4,4,6,7,3"	"2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1"	8	11	203	5	8	235		2019-10-23 16:32:47	T	F	5	5	0	0	0.89	2
86			"base"	"interview"	2019-10-24 08:11:49	"49"	6	7	7	5	4	6	3	7	4	5	6	3	5	9	4	5	6	5	8	4	1	7	6	2	2	1	2	2	7	7	7	7	2	8	2	6	7	2	2	2	18	2	"P19,P16,P10,P07,P01,P11,P17,P13,P12,P15,P18,P04,P14,P20,P08,P06,P05,P02,P03,P09"	"6,7,7,5,4,6,3,7,4,5,6,3,5,9,4,5,6,5,8,4"	"1,7,6,2,2,1,2,2,7,7,7,7,2,8,2,6,7,2,2,2"	6	14	178	3	8	209		2019-10-24 08:15:18	T	F	5	5	0	0	1.02	3
87			"base"	"interview"	2019-10-24 08:20:51	"50"	5	5	5	5	5	5	5	5	5	5	4	6	6	7	5	3	4	6	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P02,P13,P16,P19,P10,P15,P11,P04,P07,P05,P20,P03,P17,P14,P01,P06,P09,P18,P12,P08"	"5,5,5,5,5,5,5,5,5,5,4,6,6,7,5,3,4,6,4,3"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	13	170	8	7	203		2019-10-24 08:24:14	T	F	5	5	0	0	0.95	3
88			"base"	"interview"	2019-10-24 09:22:22	"51"	5	5	5	5	5	5	6	7	6	5	6	7	5	5	5	6	7	6	5	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	1	"P17,P01,P18,P10,P06,P02,P03,P09,P12,P08,P16,P15,P14,P05,P19,P07,P13,P20,P11,P04"	"5,5,5,5,5,5,6,7,6,5,6,7,5,5,5,6,7,6,5,6"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	4	13	225	4	20	254		2019-10-24 09:26:48	T	F	5	5	0	0	0.91	5
89			"base"	"interview"	2019-10-24 09:25:59	"52"	2	4	5	3	7	5	4	5	8	6	5	6	6	5	4	7	5	4	8	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23	1	"P13,P16,P09,P18,P15,P08,P19,P06,P07,P01,P11,P14,P03,P02,P12,P17,P05,P04,P10,P20"	"2,4,5,3,7,5,4,5,8,6,5,6,6,5,4,7,5,4,8,7"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	19	227	5	5	261		2019-10-24 09:30:20	T	F	5	5	0	0	0.99	8
90			"base"	"interview"	2019-10-24 09:28:44	"53"	6	3	3	7	8	7	6	6	4	3	3	6	3	3	7	2	2	6	8	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	1	"P14,P09,P07,P19,P17,P12,P05,P16,P10,P06,P11,P03,P01,P13,P20,P08,P04,P02,P18,P15"	"6,3,3,7,8,7,6,6,4,3,3,6,3,3,7,2,2,6,8,3"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	5	13	167	5	8	198		2019-10-24 09:32:02	T	F	5	5	0	0	0.98	2
91			"base"	"interview"	2019-10-24 10:12:03	"54"	2	2	3	3	3	2	3	4	3	4	3	5	5	5	5	3	5	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20	1	"P14,P16,P01,P07,P06,P13,P18,P17,P20,P12,P05,P09,P10,P02,P04,P19,P15,P03,P11,P08"	"2,2,3,3,3,2,3,4,3,4,3,5,5,5,5,3,5,3,2,3"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	6	16	122	5	6	155		2019-10-24 10:14:38	T	F	5	5	0	0	1.04	6
92			"base"	"interview"	2019-10-24 10:14:17	"55"	6	5	5	3	5	6	7	5	5	6	2	5	6	7	5	7	6	6	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	2	"P01,P04,P14,P20,P10,P13,P03,P09,P02,P08,P11,P19,P07,P06,P15,P18,P12,P16,P05,P17"	"6,5,5,3,5,6,7,5,5,6,2,5,6,7,5,7,6,6,3,3"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	3	13	86	6	7	115		2019-10-24 10:16:12	T	F	5	5	0	0	1.31	19
93			"base"	"interview"	2019-10-24 11:16:10	"56"	6	4	7	5	6	7	6	6	4	3	6	5	8	5	3	6	3	2	6	3	2	2	3	4	2	5	7	3	1	2	2	1	3	1	2	2	1	1	2	2	21	1	"P02,P16,P14,P08,P06,P20,P07,P05,P09,P15,P04,P12,P03,P01,P19,P13,P17,P10,P11,P18"	"6,4,7,5,6,7,6,6,4,3,6,5,8,5,3,6,3,2,6,3"	"2,2,3,4,2,5,7,3,1,2,2,1,3,1,2,2,1,1,2,2"	7	14	150	5	6	182		2019-10-24 11:19:13	T	F	5	5	0	0	0.98	3
94			"base"	"interview"	2019-10-24 12:25:17	"57"	4	5	7	7	3	5	6	3	4	6	6	4	6	5	5	6	6	5	4	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P20,P09,P12,P16,P07,P06,P15,P19,P17,P18,P03,P11,P04,P01,P02,P08,P13,P10,P14,P05"	"4,5,7,7,3,5,6,3,4,6,6,4,6,5,5,6,6,5,4,6"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	29	12	139	7	5	169		2019-10-24 12:28:29	T	F	5	5	0	0	0.91	8
95			"base"	"interview"	2019-10-24 13:11:24	"58"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	22	1	"P09,P11,P07,P04,P18,P10,P05,P03,P14,P19,P06,P08,P15,P16,P17,P20,P12,P01,P13,P02"	"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5"	"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"	10	13	123	4	7	157		2019-10-24 13:14:02	T	F	5	5	0	0	0.99	4
96			"base"	"interview"	2019-10-24 13:17:06	"59"	6	2	5	4	5	7	7	2	7	4	5	3	5	4	3	5	5	5	4	4	2	1	1	2	2	3	1	2	3	2	4	1	3	2	1	2	2	2	1	1	19	1	"P03,P06,P16,P11,P07,P10,P12,P18,P17,P08,P09,P13,P20,P19,P15,P14,P01,P02,P04,P05"	"6,2,5,4,5,7,7,2,7,4,5,3,5,4,3,5,5,5,4,4"	"2,1,1,2,2,3,1,2,3,2,4,1,3,2,1,2,2,2,1,1"	5	25	206	4	10	238		2019-10-24 13:21:16	T	F	5	5	0	0	0.85	2
97			"base"	"interview"	2019-10-24 13:19:51	"60"	3	5	6	4	7	7	9	5	5	9	4	6	5	4	5	4	4	8	7	5	1	1	1	1	1	8	8	1	1	8	1	1	3	4	4	4	4	8	3	7	23	1	"P14,P13,P09,P15,P17,P04,P02,P18,P05,P03,P01,P12,P06,P10,P11,P19,P16,P20,P07,P08"	"3,5,6,4,7,7,9,5,5,9,4,6,5,4,5,4,4,8,7,5"	"1,1,1,1,1,8,8,1,1,8,1,1,3,4,4,4,4,8,3,7"	6	11	121	3	5	146		2019-10-24 13:22:18	T	F	5	5	0	0	1.27	14
100			"base"	"interview"	2019-10-24 15:16:45	"61"	6	4	4	6	5	7	5	6	4	4	5	6	5	7	6	5	4	5	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P02,P06,P20,P13,P07,P17,P18,P10,P19,P08,P11,P05,P14,P03,P12,P01,P04,P15,P16,P09"	"6,4,4,6,5,7,5,6,4,4,5,6,5,7,6,5,4,5,6,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	6	8	137	3	9	163		2019-10-24 15:19:28	T	F	5	5	0	0	1.19	11
102			"base"	"interview"	2019-10-25 08:22:52	"62"	4	6	2	4	2	7	6	6	4	5	7	2	4	7	1	7	6	6	9	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20	1	"P17,P10,P19,P03,P09,P05,P15,P07,P04,P18,P16,P08,P01,P20,P06,P14,P13,P02,P12,P11"	"4,6,2,4,2,7,6,6,4,5,7,2,4,7,1,7,6,6,9,2"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	21	19	173	0	8	206		2019-10-25 08:26:34	T	F	5	5	0	0	1.17	100
103			"base"	"interview"	2019-10-25 09:18:55	"63"	5	3	1	6	5	2	3	5	5	3	1	2	6	4	5	7	4	3	7	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1	"P10,P12,P06,P18,P19,P03,P08,P02,P13,P15,P04,P16,P11,P20,P09,P05,P17,P01,P14,P07"	"5,3,1,6,5,2,3,5,5,3,1,2,6,4,5,7,4,3,7,3"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	7	12	140	2	9	170		2019-10-25 09:21:45	T	F	5	5	0	0	1.18	12
104			"base"	"interview"	2019-10-25 09:29:36	"64"	8	8	6	6	7	8	4	6	8	6	6	4	7	6	4	6	4	5	7	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26	1	"P15,P02,P05,P01,P09,P18,P11,P14,P08,P20,P03,P16,P13,P06,P19,P04,P17,P12,P07,P10"	"8,8,6,6,7,8,4,6,8,6,6,4,7,6,4,6,4,5,7,6"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	7	8	101	4	5	125		2019-10-25 09:31:41	T	F	5	5	0	0	1.31	17
105			"base"	"interview"	2019-10-25 09:55:49	"65"	4	6	7	5	8	5	7	5	6	4	6	5	6	5	5	4	5	4	6	5	2	3	6	5	8	3	6	7	6	6	6	4	4	4	4	5	4	4	8	4	27	2	"P14,P06,P16,P15,P17,P05,P11,P02,P20,P08,P04,P10,P12,P07,P01,P18,P19,P03,P13,P09"	"4,6,7,5,8,5,7,5,6,4,6,5,6,5,5,4,5,4,6,5"	"2,3,6,5,8,3,6,7,6,6,6,4,4,4,4,5,4,4,8,4"	12	32	185	2	6	218		2019-10-25 09:59:46	T	F	5	5	0	0	1.01	13
106			"base"	"interview"	2019-10-25 10:23:40	"67"	5	4	3	7	5	7	4	6	4	2	7	7	4	5	6	5	4	7	6	6	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27	1	"P11,P20,P04,P17,P02,P16,P09,P19,P08,P06,P15,P18,P07,P03,P13,P01,P14,P05,P10,P12"	"5,4,3,7,5,7,4,6,4,2,7,7,4,5,6,5,4,7,6,6"	"1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	8	15	122	6	5	156		2019-10-25 10:26:16	T	F	5	5	0	0	1.02	8
107			"base"	"interview"	2019-10-25 10:26:54	"66"	7	7	2	8	3	2	7	5	2	4	6	3	7	3	5	6	3	4	7	5	6	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	20	1	"P20,P07,P11,P09,P08,P14,P10,P18,P05,P02,P15,P17,P06,P01,P16,P03,P19,P12,P04,P13"	"7,7,2,8,3,2,7,5,2,4,6,3,7,3,5,6,3,4,7,5"	"6,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"	6	12	185	2	9	214		2019-10-25 10:30:28	T	F	5	5	0	0	1.16	11
108			"base"	"interview"	2019-10-25 12:20:57	"68"	4	3	6	4	4	6	7	3	4	3	4	7	6	6	5	4	5	7	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20	1	"P13,P14,P16,P07,P20,P02,P19,P05,P18,P15,P03,P12,P17,P10,P08,P01,P11,P09,P06,P04"	"4,3,6,4,4,6,7,3,4,3,4,7,6,6,5,4,5,7,5,4"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	11	9	108	6	5	139		2019-10-25 12:23:17	T	F	5	5	0	0	1.13	14
109			"base"	"interview"	2019-10-25 12:26:45	"69"	4	3	2	5	4	5	5	6	5	5	6	7	5	5	5	6	6	4	4	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25	2	"P02,P13,P04,P16,P03,P05,P01,P12,P18,P20,P14,P07,P19,P08,P15,P17,P09,P11,P06,P10"	"4,3,2,5,4,5,5,6,5,5,6,7,5,5,5,6,6,4,4,7"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	7	13	156	3	11	190		2019-10-25 12:29:55	T	F	5	5	0	0	0.98	3
111			"base"	"interview"	2019-10-25 13:21:28	"70"	7	8	6	8	5	7	9	4	4	9	8	9	6	8	4	9	5	5	4	8	2	2	8	8	7	1	8	2	6	8	1	7	8	1	1	8	6	1	1	1	22	1	"P11,P09,P14,P07,P05,P04,P17,P12,P16,P15,P10,P13,P18,P03,P08,P20,P06,P01,P19,P02"	"7,8,6,8,5,7,9,4,4,9,8,9,6,8,4,9,5,5,4,8"	"2,2,8,8,7,1,8,2,6,8,1,7,8,1,1,8,6,1,1,1"	8	16	173	5	5	207		2019-10-25 13:24:56	T	F	5	5	0	0	0.97	6
112			"base"	"interview"	2019-10-25 13:29:09	"71"	4	5	5	5	5	4	3	5	7	6	3	3	6	5	4	3	5	5	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	2	"P03,P04,P01,P17,P06,P14,P09,P16,P10,P13,P12,P11,P18,P19,P15,P20,P05,P08,P02,P07"	"4,5,5,5,5,4,3,5,7,6,3,3,6,5,4,3,5,5,6,5"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	7	18	117	1	8	151		2019-10-25 13:31:40	T	F	5	5	0	0	1.37	33
