"","Amaura_familiar_response","Axew_familiar_response","Beheeyem_familiar_response","Bergmite_familiar_response","Carbink_familiar_response","Chespin_familiar_response","Cosmog_familiar_response","Cottonee_familiar_response","Cranidos_familiar_response","Deino_familiar_response","Drampa_familiar_response","Drilbur_familiar_response","Duosion_familiar_response","Eelektrik_familiar_response","Espurr_familiar_response","Fomantis_familiar_response","Foongus_familiar_response","Frillish_familiar_response","Froakie_familiar_response","Gastrodon_familiar_response","Golett_familiar_response","Goodra_familiar_response","Goomy_familiar_response","Gourgeist_familiar_response","Grubbin_familiar_response","Inkay_familiar_response","Jangmo_familiar_response","Kricketot_familiar_response","Larvesta_familiar_response","Lillipup_familiar_response","Magearna_familiar_response","Manaphy_familiar_response","Meowstic_familiar_response","Mienshao_familiar_response","Minccino_familiar_response","Oshawott_familiar_response","Palpitoad_familiar_response","Petilil_familiar_response","Phantump_familiar_response","Poipole_familiar_response","Ribombee_familiar_response","Rowlet_familiar_response","Scatterbug_familiar_response","Scraggy_familiar_response","Shellos_familiar_response","Shelmet_familiar_response","Sliggoojpg_familiar_response","Snivy_familiar_response","Spritzee_familiar_response","Stunfisk_familiar_response","Swadloon_familiar_response","Togedemaru_familiar_response","Tympole_familiar_response","Uxie_familiar_response","Venipede_familiar_response","Victini_familiar_response","Virizion_familiar_response","Wimpod_familiar_response","Yamask_familiar_response","Zorua_familiar_response"
"72",0,7,0,0,0,0,0,2,0,8,0,1,0,0,1,0,1,0,1,0,0,1,1,2,0,0,0,6,0,1,0,0,1,7,0,1,0,4,1,0,1,8,0,8,0,0,0,5,0,0,0,1,1,1,0,0,0,1,0,6
"73",6,6,7,6,7,5,7,6,6,6,6,7,6,7,7,7,7,7,7,7,6,7,6,8,7,6,6,7,8,7,6,6,8,7,7,7,7,7,6,6,7,6,7,8,7,7,7,6,7,8,8,8,7,6,7,6,8,7,6,6
"74",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"75",2,5,1,3,3,8,3,2,4,3,1,5,5,2,7,2,4,3,8,7,2,3,3,5,5,2,6,7,1,3,2,2,2,4,2,7,2,5,3,1,4,8,6,5,6,1,3,7,3,2,2,2,2,6,2,4,3,1,3,2
"76",3,8,8,1,7,8,8,8,8,8,8,8,8,5,8,1,5,8,8,8,7,8,5,8,8,3,3,8,1,8,8,8,2,8,8,8,8,8,8,3,8,8,7,8,8,8,8,8,8,8,8,3,8,8,8,8,8,5,8,8
"77",1,4,1,4,1,4,3,1,1,1,1,3,2,0,5,3,5,5,0,2,5,2,1,3,0,3,1,0,2,3,2,1,0,1,2,1,3,5,2,2,0,0,0,2,0,0,1,0,0,0,4,4,2,2,1,1,6,0,0,7
"78",0,2,0,0,0,0,1,1,1,3,0,0,0,0,0,4,4,0,6,1,0,0,3,0,0,3,0,0,1,6,0,5,0,0,6,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,4,0,3,0,0,0,0
"79",0,0,0,0,1,0,4,0,4,0,3,1,0,0,0,0,0,0,3,1,0,0,4,3,2,0,0,1,0,6,0,4,0,1,2,3,2,0,1,0,0,7,0,1,2,0,0,2,0,0,0,0,1,1,3,0,0,2,6,0
"80",2,2,1,1,4,8,4,2,8,6,2,5,0,3,0,0,4,0,8,3,3,2,2,2,5,8,0,1,5,3,2,2,6,2,8,3,4,3,2,1,1,8,2,5,2,3,0,6,0,0,3,8,2,2,8,1,0,2,4,6
"81",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"82",0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,3,0,0,0,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"85",2,8,5,4,4,8,7,5,4,4,6,5,5,5,7,3,5,4,6,5,2,7,6,6,6,6,4,5,3,7,1,6,5,3,7,8,4,4,8,5,6,8,3,8,4,5,5,8,4,5,4,8,5,3,5,4,4,6,6,6
"86",0,8,7,0,6,8,0,6,8,8,4,7,0,8,0,0,8,4,8,8,6,7,7,5,0,2,0,0,5,6,0,8,4,7,5,8,8,0,4,0,4,8,0,6,8,6,7,8,4,7,8,4,5,6,8,8,0,4,6,8
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,8,0,3,3,0,2,0,3,0,0,2,8,0,0,0,0,0,0,0,8,0,3,0,8,0,0,4,5,0,0,0,0,0,2,0,2,8,0,0,4,0,1,1,0,0,8,2,1,0,1,0,3
"91",2,3,1,4,5,4,3,2,2,3,3,0,1,3,2,3,3,3,5,3,3,2,2,1,2,3,3,6,1,5,3,2,5,2,4,1,3,4,3,3,4,6,3,4,4,3,5,2,1,4,3,6,3,2,2,7,4,1,1,6
"92",1,3,6,4,5,6,4,0,4,2,4,4,8,8,0,4,5,2,1,1,0,6,5,2,0,6,0,8,4,6,4,8,0,1,7,0,8,8,0,0,4,0,6,4,4,2,0,2,7,0,3,4,3,0,6,4,8,6,2,8
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",6,7,7,7,7,8,4,8,8,6,7,7,1,0,7,5,7,7,6,7,4,8,2,7,7,7,6,7,7,7,7,6,6,7,7,6,8,4,6,8,8,8,6,8,7,7,8,7,7,8,8,8,6,7,6,8,8,7,8,8
"95",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,2,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"101",1,8,4,6,1,6,1,2,6,0,0,4,7,2,0,0,5,7,5,2,5,7,5,6,4,5,4,8,3,8,3,6,5,5,7,8,3,4,2,7,3,8,3,6,6,4,2,5,0,6,6,6,6,6,4,2,7,5,3,0
"102",0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,5,1,2,0,0,0,0,0,0,8,0,0,1,0,0,5
"103",0,8,5,0,6,7,8,5,8,6,7,6,6,6,5,6,6,6,7,7,6,6,5,0,7,5,6,6,7,7,8,8,3,6,6,8,6,6,4,5,5,8,3,6,7,6,5,8,0,5,5,4,6,8,5,8,7,6,6,8
"104",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,7,1,1,1,0,0,1
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",4,8,3,5,0,5,7,8,6,8,4,7,2,7,4,4,8,5,5,8,5,6,4,5,6,5,5,7,2,5,1,8,3,7,5,8,8,7,6,7,5,8,4,7,8,3,5,8,6,4,3,7,7,8,6,8,6,6,5,5
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,2,0,1,1,2,0,1,1,0,2,2,1,0,2,0,0,2,0,2,0,0,0,1,0,2,1,2,0,1,2,1,2,0,1,0,2,0,1,0,0,1,1,0,0
"115",2,5,3,4,3,1,5,2,3,5,0,0,3,4,3,3,7,6,3,2,5,3,3,7,3,2,3,4,5,5,0,6,5,2,6,2,3,6,4,4,4,1,5,3,3,2,4,3,2,2,5,6,2,5,6,5,6,2,4,6
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",2,2,2,1,3,1,1,2,1,2,1,1,1,1,1,3,2,1,2,1,2,1,1,1,2,2,1,1,0,1,1,2,1,3,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1
"118",8,8,6,7,7,8,8,7,8,8,6,7,7,6,8,6,7,7,7,8,7,8,8,7,7,8,6,8,7,8,6,8,8,8,8,8,6,7,6,6,6,8,7,7,7,7,7,8,7,7,7,7,7,8,8,8,8,6,7,8
"119",7,6,3,3,3,6,7,5,6,6,2,6,4,5,4,2,8,4,6,6,4,6,4,8,4,4,4,7,5,4,3,8,5,6,5,6,4,7,5,0,5,5,5,5,5,7,4,5,4,6,6,3,6,8,8,8,4,2,4,5
"120",5,6,4,5,5,5,5,6,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,4,6,5,5,5,5,5,5,5,5,6,5,6,5,4,5,5
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"122",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
"124",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,1,0,0,1
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",7,0,3,2,8,6,0,8,8,5,3,8,7,7,8,0,0,8,8,7,0,0,0,5,0,8,0,8,0,7,6,8,8,4,6,8,0,6,7,0,1,7,0,0,7,6,3,8,0,8,0,0,0,8,0,7,0,0,8,7
"128",2,1,1,2,1,6,0,1,1,1,4,2,2,0,1,2,2,1,5,1,1,1,0,1,1,0,6,0,3,1,5,0,2,0,1,2,1,3,0,1,1,0,0,3,2,0,1,3,1,2,2,2,1,2,2,2,5,2,1,0
"129",6,5,4,4,6,7,5,6,5,7,2,5,3,5,5,4,5,4,5,3,5,6,5,3,4,5,4,7,6,6,3,7,6,5,6,6,3,4,5,0,5,5,4,3,7,4,3,6,4,5,3,2,3,7,7,5,7,3,6,5
"130",2,3,1,1,2,2,1,2,1,1,1,2,1,1,1,5,1,1,4,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,8,1,6,1,1,1,7,1,2,1,1,1,2,1,1,4,1,1,1,1,5,3,1,1,4
"131",0,6,1,1,1,3,1,4,8,2,0,4,0,8,3,2,4,1,6,6,1,0,8,5,2,1,2,6,3,5,1,8,4,6,3,5,0,2,2,0,2,3,8,1,7,6,3,8,4,1,2,7,3,8,0,7,0,1,0,1
"132",1,4,0,0,7,5,8,8,3,4,7,0,0,5,0,1,1,3,0,3,0,8,6,0,5,2,1,0,0,5,6,7,2,0,0,0,0,3,7,5,0,8,2,4,0,0,0,4,6,0,0,3,0,7,1,3,3,2,1,2
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",1,2,3,1,2,3,2,2,8,1,1,1,2,1,2,3,1,2,4,6,1,2,1,2,2,1,1,6,1,3,1,8,1,1,1,6,1,2,1,1,1,2,1,1,6,2,1,7,3,1,3,1,2,7,3,2,4,2,1,1
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",8,5,5,3,1,7,5,3,6,5,3,3,1,7,5,5,6,7,5,5,2,7,5,4,5,6,5,4,2,6,4,7,7,4,8,8,7,3,6,3,8,7,3,7,2,4,1,3,3,6,1,7,2,5,6,7,8,6,1,4
"138",0,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"139",1,1,2,1,1,1,1,2,0,1,2,1,2,1,1,1,1,2,4,0,0,1,0,0,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,5,0,1,5,1,2,1,2,2,1,0,2,1,1,2,2
"140",5,4,0,1,0,1,0,0,5,5,2,5,0,4,3,1,7,2,6,3,0,3,0,0,2,2,5,2,0,7,0,0,6,4,7,5,0,0,0,0,3,3,6,4,3,2,6,1,5,2,1,2,0,4,1,5,6,1,0,6
"141",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,6,0,0,0,0,0,6,0,0,0,0,0,1
"143",2,3,0,2,2,3,3,2,3,3,1,2,4,1,1,4,2,0,1,3,1,1,3,1,2,1,2,2,3,2,3,2,3,3,4,2,2,2,0,0,2,3,0,0,3,1,2,1,3,2,3,3,2,3,0,2,2,1,1,2
"144",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",7,5,6,6,5,7,0,5,5,5,2,5,5,3,7,1,6,4,7,7,5,6,7,7,0,7,2,7,7,5,2,7,5,6,4,3,4,3,7,0,1,5,7,5,7,4,7,6,4,5,5,0,3,7,6,5,5,3,5,5
"147",3,5,6,4,4,5,5,4,8,3,1,4,4,3,6,3,5,3,6,8,1,5,5,4,3,7,3,8,4,3,2,8,5,4,4,7,2,6,3,5,4,7,4,2,8,5,2,7,6,3,1,2,5,8,3,4,3,3,1,3
"148",1,2,4,3,4,3,4,3,6,3,1,4,1,5,3,3,4,3,3,3,2,7,7,3,4,5,7,4,5,1,6,7,3,6,4,1,3,4,4,4,4,4,0,4,2,4,5,5,1,2,5,7,2,5,3,2,4,3,0,2
"149",6,2,2,1,2,3,0,2,1,1,4,3,2,1,2,2,3,1,2,2,1,2,4,4,1,3,1,2,2,3,2,4,5,2,3,2,3,3,1,2,5,3,1,2,4,1,3,2,3,2,2,2,3,3,2,2,3,2,0,1
"150",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",1,6,0,0,3,5,3,4,2,0,0,5,0,0,7,0,0,2,5,0,0,2,4,0,4,2,1,0,0,7,0,0,0,4,0,5,0,0,0,5,1,5,0,5,0,0,0,0,2,3,0,6,0,0,0,0,0,0,0,8
"152",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"153",6,7,3,3,6,8,2,3,2,1,1,5,3,2,1,2,2,1,8,2,2,2,2,0,1,7,2,2,3,7,2,4,2,0,6,8,2,1,2,1,1,3,6,6,1,2,2,8,2,0,6,1,2,5,3,0,5,1,1,2
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
