"","Amaura_Liking_response","Axew_Liking_response","Beheeyem_Liking_response","Bergmite_Liking_response","Carbink_Liking_response","Chespin_Liking_response","Cosmog_Liking_response","Cottonee_Liking_response","Cranidos_Liking_response","Deino_Liking_response","Drampa_Liking_response","Drilbur_Liking_response","Duosion_Liking_response","Eelektrik_Liking_response","Espurr_Liking_response","Fomantis_Liking_response","Foongus_Liking_response","Frillish_Liking_response","Froakie_Liking_response","Gastrodon_Liking_response","Golett_Liking_response","Goodra_Liking_response","Goomy_Liking_response","Gourgeist_Liking_response","Grubbin_Liking_response","Inkay_Liking_response","Jangmo_Liking_response","Kricketot_Liking_response","Larvesta_Liking_response","Lillipup_Liking_response","Magearna_Liking_response","Manaphy_Liking_response","Meowstic_Liking_response","Mienshao_Liking_response","Minccino_Liking_response","Oshawott_Liking_response","Palpitoad_Liking_response","Petilil_Liking_response","Phantump_Liking_response","Poipole_Liking_response","Ribombee_Liking_response","Rowlet_Liking_response","Scatterbug_Liking_response","Scraggy_Liking_response","Shellos_Liking_response","Shelmet_Liking_response","Sliggoojpg_Liking_response","Snivy_Liking_response","Spritzee_Liking_response","Stunfisk_Liking_response","Swadloon_Liking_response","Togedemaru_Liking_response","Tympole_Liking_response","Uxie_Liking_response","Venipede_Liking_response","Victini_Liking_response","Virizion_Liking_response","Wimpod_Liking_response","Yamask_Liking_response","Zorua_Liking_response"
"1",3,-2,-3,0,0,4,-3,0,-2,1,-1,2,1,-4,2,2,0,0,1,0,-1,0,1,-2,-1,2,-2,1,-1,4,-1,4,0,-1,4,2,-3,2,-4,-2,1,3,-1,0,1,-2,0,0,1,-2,-2,2,2,0,-4,1,0,0,-2,-2
"2",4,0,-2,0,0,2,-2,0,-1,0,0,1,2,-2,3,0,0,0,0,0,0,2,0,0,1,3,1,0,0,1,0,2,2,1,4,0,2,1,-1,1,3,2,-1,0,2,0,3,2,0,-1,-1,4,2,1,-1,0,2,-1,0,0
"3",2,1,-2,-2,0,4,4,1,0,3,1,1,-1,-2,0,2,-1,3,4,-4,-3,-1,-2,-3,-2,-2,1,-2,0,2,-4,0,2,0,4,4,-2,4,-4,-2,4,4,-3,-2,-2,-2,-2,4,1,-2,-1,3,-1,0,-2,1,2,-1,-4,2
"4",-4,4,4,0,3,4,4,4,4,4,-3,4,4,4,-4,0,4,2,4,3,4,0,0,-4,2,0,3,-4,4,4,-4,1,2,2,4,4,4,4,1,-1,4,4,0,4,4,4,0,4,4,4,4,-4,4,0,4,4,2,4,4,4
"5",3,0,-4,0,1,4,-2,3,-2,1,-1,4,3,-4,3,1,1,-2,-1,1,1,0,1,-3,-3,3,-2,2,-2,3,-1,4,0,1,3,2,-1,3,-1,-2,-2,4,-3,0,1,-1,0,0,2,-1,-1,4,3,0,-4,2,3,-3,-3,-1
"6",1,1,0,0,0,1,0,0,-1,0,0,0,1,0,1,2,0,1,1,0,-2,1,0,-1,0,1,0,0,-1,1,0,3,1,0,1,1,2,1,-1,0,1,3,0,0,1,0,0,0,1,0,0,1,1,0,-2,1,2,0,0,0
"7",0,1,1,0,1,4,3,3,0,-3,-2,2,1,-4,4,1,4,1,2,1,2,-4,2,-2,1,2,0,4,-3,4,1,3,2,1,4,3,1,1,1,0,2,3,4,0,2,-2,-1,1,-1,1,3,4,2,3,-1,1,1,2,-3,2
"8",1,0,-3,-1,-2,0,2,-1,-2,-2,3,1,1,2,1,3,1,3,3,-2,-2,-3,-2,-2,-1,1,1,0,-3,3,0,2,4,1,3,1,-2,1,-2,1,2,2,1,0,3,0,-2,3,2,1,1,1,1,1,-2,1,2,0,-1,2
"9",0,2,-1,0,2,4,0,-3,2,1,-1,-2,0,-1,3,-2,-3,3,4,0,2,2,-3,0,-1,1,-1,0,1,0,0,2,3,3,3,2,0,3,1,-1,1,2,-1,0,-2,-2,-2,4,0,-2,-1,0,2,1,0,4,4,-1,1,3
"10",1,1,-4,-4,-4,1,2,-3,-3,-1,2,-4,2,-4,3,3,-1,2,1,-2,-4,1,-3,1,-4,2,-4,-4,-4,3,-2,2,3,-4,3,3,-4,3,-3,-4,1,1,0,-4,-3,-4,-3,-4,2,-4,0,4,-4,1,-4,-1,-3,-4,-4,2
"11",1,-3,-4,-2,-2,-1,-4,-3,-3,-4,-4,-2,-4,-4,0,-3,-3,-3,-2,-4,-3,-3,-4,-4,-3,1,-3,-3,-4,-1,-3,1,1,-3,-1,1,-4,0,-4,-3,0,0,0,-2,-3,-4,-3,-1,-1,0,-2,-2,-3,-4,-4,0,-3,-1,-4,-1
"12",4,2,-2,1,2,4,2,4,1,2,2,4,4,-2,4,2,2,2,4,2,2,1,-1,1,3,3,-1,4,-2,4,-1,4,3,1,4,3,-2,4,4,-3,3,4,-1,-1,3,2,1,3,2,1,0,4,4,4,-4,4,4,-3,-2,-1
"13",3,-1,-4,0,-2,0,-2,1,-2,1,2,2,2,1,0,3,-2,2,-2,0,1,0,-1,-2,0,1,1,1,-3,2,-2,2,2,0,3,0,0,1,-3,1,3,3,-1,0,3,-1,-1,1,-1,-2,0,2,2,3,-2,-1,1,-1,-2,-2
"14",4,3,3,3,4,4,4,3,3,2,3,4,3,3,3,3,2,4,3,1,4,4,4,3,3,4,3,2,4,3,4,4,3,2,4,4,3,3,4,4,4,4,3,2,4,4,2,3,2,2,3,4,2,3,2,3,3,2,3,4
"15",3,0,-2,0,0,0,-1,-2,0,1,1,4,2,-2,0,0,1,0,2,1,0,3,2,-3,-2,3,0,0,-4,3,1,4,1,1,2,0,-1,2,-2,1,1,3,-1,-1,3,-2,2,1,1,0,-1,4,1,1,-3,-2,0,-1,-1,-2
"16",4,2,1,0,2,4,3,-3,-1,1,4,1,4,-1,4,3,3,4,-2,2,0,4,4,1,-3,4,2,4,1,4,3,3,3,4,4,1,0,4,-3,-3,3,3,1,1,1,-2,2,3,0,-2,-2,4,2,0,-3,4,3,-2,-2,-2
"17",0,3,-4,-3,3,4,3,4,2,2,-2,0,4,-2,4,2,2,-2,2,-2,3,0,3,1,0,2,2,1,-2,4,1,1,2,4,4,4,-3,4,3,-2,1,4,2,-3,2,-3,4,0,0,4,1,4,-2,1,-3,3,3,-3,-1,-1
"18",0,2,1,1,0,0,1,0,0,3,1,3,2,1,3,1,3,-2,3,0,2,1,1,-2,-1,0,0,0,-4,-1,2,3,1,0,4,0,-3,2,-3,-2,2,3,0,-1,2,-2,2,-1,1,0,-1,0,3,0,0,-1,-1,4,0,0
"19",3,-1,-2,0,1,2,0,0,-2,-1,1,1,1,-2,1,1,2,-1,1,-3,0,1,1,-1,-1,0,0,1,-3,4,0,4,1,0,1,0,-2,0,-1,-2,0,1,-3,0,1,-1,0,2,0,0,1,2,-1,-1,-3,0,0,-2,-3,-2
"20",4,1,-2,-1,2,1,-2,1,2,0,3,4,2,1,2,2,4,3,3,1,-2,3,4,2,2,3,4,4,-2,4,-2,4,2,-1,4,4,2,3,-2,-1,2,2,0,1,4,2,3,4,3,-2,0,4,3,2,-1,4,3,2,-1,1
"21",0,0,-1,0,0,0,0,-1,0,0,0,0,0,-2,0,0,0,0,0,-1,0,0,0,-2,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,0
"22",1,0,-1,1,0,4,0,0,-1,3,2,4,0,-2,2,1,0,-1,-1,-1,4,3,2,4,-1,3,-1,0,0,0,0,4,0,0,4,0,3,4,-2,0,2,3,0,-2,1,0,2,0,0,-2,-3,2,1,0,-1,4,1,0,0,-3
"23",4,-4,4,0,2,0,-4,-4,-4,0,0,2,-4,0,4,0,-4,-4,0,0,-4,1,0,-4,2,2,2,3,-4,4,0,0,-4,4,4,2,3,0,-4,-3,2,4,-4,-4,0,4,1,0,-4,4,-4,4,4,-4,-4,2,3,4,3,-4
"24",0,2,-2,3,2,-2,2,1,2,3,-4,-2,0,-4,4,1,-2,-3,-4,0,-1,0,-4,1,-2,-4,-1,1,2,2,3,4,4,3,3,2,-4,0,1,-1,1,4,-1,1,3,-2,-4,4,1,-4,2,-1,-3,4,-3,4,1,1,1,2
"25",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,3,-1,0,0,0,0,4,0,0,0,0,0,0,-1,0,0,0,0,0
"26",2,1,-2,0,1,2,1,1,2,3,1,0,0,-1,0,-2,-1,0,0,1,2,0,2,-2,0,-2,2,0,1,3,0,2,3,0,2,4,0,1,-1,2,-2,1,2,2,2,-1,-2,3,0,0,1,0,0,0,1,0,1,0,-2,1
"27",3,3,0,-1,1,4,4,3,0,2,1,3,4,0,3,2,0,3,4,-1,3,1,1,3,1,2,1,-2,2,4,2,2,4,2,4,4,2,3,3,1,-1,4,1,4,2,2,-1,4,2,1,3,3,1,2,4,4,2,1,3,4
"28",-2,0,-3,-1,-1,-1,-2,-2,-2,-1,0,0,0,-2,-1,-2,0,-1,0,0,0,-2,-3,-2,0,-1,0,-2,-1,0,0,0,0,0,-1,0,0,-1,-4,-2,2,-2,0,-1,0,-2,0,0,-1,0,-1,0,-1,0,-2,0,0,0,-2,-2
"29",0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
"30",3,0,-2,0,0,4,4,0,-1,1,4,4,0,-2,2,0,4,-3,0,0,-1,3,4,-4,0,4,-1,0,-3,2,-2,4,0,1,4,0,-1,3,-3,-4,4,4,-1,-1,2,-1,3,-2,0,0,-3,4,0,0,-4,4,0,-2,-3,-1
"31",4,2,-1,0,0,4,3,3,2,3,2,4,2,-1,4,2,1,3,2,3,1,3,1,1,1,3,4,3,1,4,-2,4,4,4,4,4,2,4,1,1,3,4,2,2,3,-2,3,4,4,0,1,4,3,3,-1,4,4,-1,-1,4
"32",2,0,-2,-1,1,4,0,2,-1,-1,-1,0,1,-3,0,0,-1,-1,3,-3,-1,2,-1,-2,-3,1,-2,1,-3,2,-2,2,1,1,3,3,-2,3,-2,-2,1,3,-3,-2,1,-2,0,3,0,-1,-1,4,-1,2,-2,3,1,-3,-3,-1
"33",0,2,-1,-1,2,2,-2,4,-2,2,1,2,1,-3,1,1,0,3,-1,1,-1,2,1,3,1,1,-1,3,-3,3,-1,1,3,2,4,2,-2,4,4,-3,2,2,-1,-2,1,2,-1,1,0,-3,3,4,2,1,-2,3,3,-2,-1,3
"34",3,3,0,2,2,2,3,2,2,1,2,1,2,-3,4,1,0,1,2,1,1,0,0,0,0,3,1,3,-1,2,3,3,2,1,2,2,0,3,1,1,2,2,0,-1,0,-2,0,1,1,0,2,2,2,1,-1,2,1,-1,-2,1
"35",2,2,0,-3,-2,3,3,0,-2,-3,-2,2,-1,-2,2,2,0,3,2,1,-3,2,3,-3,-2,2,0,2,-3,3,-3,3,2,2,3,2,1,2,-3,-1,3,2,-2,0,2,2,1,3,0,1,0,3,2,-1,-2,0,2,-4,-2,-3
"36",0,4,-2,-1,0,0,4,4,4,0,0,0,0,-4,4,0,0,0,0,0,0,4,4,-1,0,0,2,-1,-4,4,0,2,3,4,4,0,2,4,0,-1,0,0,4,1,0,4,-1,4,0,0,4,2,4,4,-4,0,4,-2,0,-1
"37",2,-2,-2,1,2,-2,2,1,0,-2,-1,-1,-2,-4,2,-2,2,2,0,1,-2,1,0,0,0,1,0,1,0,2,-2,1,0,-2,2,1,-4,3,-3,2,1,2,-2,-1,1,0,0,1,0,0,0,2,2,0,-2,2,-2,0,0,-4
"38",2,1,-1,1,-1,1,-1,1,0,1,1,1,1,-2,1,0,0,0,0,2,0,1,3,-1,-1,0,1,1,-1,1,-2,2,0,-1,1,2,-1,3,-1,-3,0,4,1,1,2,-1,2,1,0,-1,0,3,2,0,1,1,0,-1,-1,-1
"39",0,2,0,2,2,1,1,1,0,0,1,2,1,0,0,1,1,0,1,1,0,1,1,0,1,2,1,1,0,1,1,1,2,1,2,1,1,0,-1,0,0,2,0,1,1,0,1,1,1,1,1,2,1,1,-1,1,1,1,1,0
"40",4,3,2,3,3,2,4,2,3,3,4,2,3,-1,3,3,3,3,2,3,4,3,3,3,1,2,1,2,2,3,3,3,3,2,3,3,2,3,4,2,2,4,1,2,3,2,2,3,2,3,3,2,2,3,2,2,3,3,1,3
"41",1,1,-3,-2,1,2,1,2,-1,2,2,3,1,-4,2,1,0,-1,1,-2,2,-3,0,-4,-1,1,0,2,0,2,0,1,1,0,2,1,0,1,-4,-4,1,3,1,-3,1,-1,0,1,0,0,0,1,1,1,-4,2,1,-1,-3,2
"42",-4,-2,-4,0,-2,-1,3,-2,-3,-3,0,-2,1,-1,0,-2,1,2,-2,-3,-4,-1,-1,-4,-1,0,-3,1,-3,-2,2,-2,-3,-1,0,-3,-4,0,0,0,1,0,1,-4,-2,1,-2,-1,-3,1,0,-1,4,-1,-3,-1,-3,-2,3,0
"43",3,0,-1,1,0,4,-2,4,1,2,2,4,3,-1,1,1,0,-3,0,1,1,2,1,-3,0,2,0,3,1,1,-2,3,1,-1,2,-1,1,0,0,-1,3,2,0,-1,2,0,2,1,2,0,0,2,3,-1,-2,2,1,-1,-2,-1
"44",4,3,3,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"45",0,0,-2,-2,2,0,-2,2,-1,-1,-1,2,3,-4,3,0,3,1,1,0,1,2,2,0,-2,1,0,0,-1,3,0,1,1,-1,3,1,-3,1,1,-1,2,3,-1,1,-2,-1,1,2,0,-1,1,4,1,0,-3,2,2,-4,-3,-3
"46",3,-3,-4,0,4,4,4,4,-4,1,0,2,2,-4,4,0,-1,4,4,0,-4,-4,1,1,-4,1,-3,-2,-4,4,-4,3,3,-1,4,-1,-3,4,2,-3,1,4,-4,1,1,2,0,1,0,0,-3,4,-3,1,-4,1,0,-4,-4,-3
"47",4,4,4,3,3,4,1,4,4,4,3,4,4,4,4,3,4,2,4,4,3,4,4,4,3,4,3,4,4,4,3,4,3,2,4,4,4,3,4,3,2,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4
"48",2,-3,-4,3,-3,1,0,-3,2,-4,-3,-4,0,-4,2,-4,0,0,-1,3,0,0,2,0,-4,-3,0,2,-3,-3,0,4,0,2,-3,4,-4,0,0,0,-4,3,-4,-4,3,-3,-1,4,-3,-4,3,0,-4,4,-3,4,0,-4,0,2
"49",3,0,-1,0,3,2,3,2,3,0,1,3,0,-1,3,3,0,0,1,0,2,0,3,0,0,4,0,1,0,1,2,4,3,2,4,1,-1,3,0,-1,3,0,1,0,3,1,0,1,1,-1,2,2,0,0,-1,4,2,-2,0,1
"50",0,2,1,-2,-4,2,-4,4,4,1,-2,4,-1,-2,1,-2,0,3,4,2,1,2,-2,-3,-2,2,-4,2,-3,4,2,4,2,-2,4,4,-3,1,-2,-2,-3,2,1,1,2,4,0,4,0,-2,2,2,0,4,4,4,1,-1,-2,2
"51",1,1,0,0,1,3,4,1,1,0,3,1,1,2,3,2,1,1,3,1,2,3,2,1,4,2,0,3,1,1,3,3,1,0,1,3,1,1,1,1,0,4,0,0,2,1,1,3,1,4,0,2,0,3,0,1,0,2,1,1
"52",2,2,-1,-1,3,2,-2,0,2,1,2,2,1,-1,-2,3,-2,1,-2,2,1,1,1,-1,1,0,2,1,-3,2,1,4,1,-2,1,2,-3,2,-2,-2,-1,-2,-2,-2,3,2,0,1,2,-1,1,2,1,3,-2,0,3,-1,-2,2
"53",3,2,-2,2,2,1,1,3,1,1,3,4,2,0,4,2,4,0,3,-1,0,3,2,-2,-1,2,1,1,1,3,0,4,2,1,4,1,2,1,0,-2,3,4,-1,1,4,2,2,2,2,-1,-1,4,4,4,-2,4,2,1,2,1
"54",3,0,0,1,1,2,0,1,-1,-2,1,3,4,-2,3,2,3,0,3,1,1,2,4,-2,-3,4,1,3,-1,4,-3,4,2,1,4,3,2,3,-1,-1,4,4,0,1,4,-3,2,2,2,0,-1,4,2,0,-3,3,1,-2,-1,0
"55",2,1,-2,1,1,1,2,2,1,0,-1,1,1,2,3,0,1,1,2,0,1,2,2,1,1,1,1,2,-2,3,1,1,3,-1,3,1,1,2,2,2,2,2,1,2,3,2,0,2,2,0,0,3,3,1,-1,1,2,0,-1,0
"56",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"57",0,0,1,0,0,4,3,-1,0,0,-1,0,1,-2,1,0,3,1,0,0,0,-1,-1,1,-2,1,0,0,-2,-1,0,0,1,2,0,0,3,-2,1,-1,0,0,0,0,0,0,1,2,1,0,1,2,1,-3,4,0,-2,1,1,0
"58",4,2,-4,4,2,4,2,4,-1,1,-1,4,4,-4,4,2,3,1,-1,2,0,2,2,-2,-4,2,0,-2,-3,4,1,4,2,2,4,3,3,4,-1,-2,3,4,1,-1,4,-2,4,2,3,1,-2,4,3,2,-4,3,3,-3,2,0
"59",1,1,0,1,2,3,1,2,0,1,1,3,2,-1,0,0,0,-2,1,0,0,3,0,0,0,1,-1,1,0,1,0,3,0,-1,2,2,2,1,-2,-1,3,3,0,0,2,2,1,1,0,-1,-1,3,2,0,-1,2,0,-2,-2,-1
"60",1,0,-1,2,-1,2,-2,0,1,3,2,3,3,-2,2,0,2,-2,0,1,0,1,1,-2,-1,1,-1,0,0,2,-2,3,2,0,2,-1,4,1,-2,-1,3,3,0,0,2,-1,3,1,0,0,2,3,3,1,0,2,1,-1,-2,0
"61",2,1,-2,2,2,3,-1,1,4,2,-2,2,1,-3,-2,2,-1,4,-2,-1,4,2,1,0,0,1,3,3,2,0,0,4,-1,-2,2,1,2,0,-2,0,0,3,4,0,4,-1,-2,1,2,-2,-2,-2,-2,-1,-3,2,4,2,-1,-2
"62",4,1,0,1,1,2,2,1,0,1,0,3,1,-1,1,3,1,-1,0,2,1,0,0,0,0,4,-1,0,-1,3,1,4,3,1,3,2,2,1,-2,1,3,3,-1,1,2,0,2,1,2,-1,0,2,0,0,-1,2,2,-1,-1,0
"63",4,4,3,4,3,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,3,2,3,3,4,3,4,4,3,3,4,4,3,4,3,3,4,3,3,4,3,4,4,3,3,4,3,3,4,4,3,4,3,3,3,4,3
"64",3,2,-3,-1,1,4,2,1,-2,-1,3,3,1,-3,3,3,-2,-1,3,-2,1,2,3,-3,1,-1,2,1,-2,3,1,2,3,2,3,3,-2,3,2,-2,3,4,1,-1,1,-1,1,2,2,1,-2,4,2,2,-2,2,4,-1,-3,2
"65",3,-1,-1,2,2,3,1,2,2,2,1,1,1,-1,3,3,0,3,3,2,0,1,1,2,1,2,2,1,-1,3,2,2,3,0,2,2,2,3,0,0,3,3,2,-1,1,2,1,-1,0,1,1,1,2,2,-2,2,4,-1,-2,3
"66",4,4,3,2,-1,1,1,2,4,4,0,3,-1,4,1,2,-1,3,3,3,3,3,-1,0,1,0,2,-1,1,3,-1,1,2,0,0,2,-2,0,-2,-1,2,1,-2,2,-4,2,3,2,-1,-2,1,2,3,2,-1,2,2,2,-1,1
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"68",2,1,-3,0,2,2,0,3,1,2,1,1,3,-3,1,1,0,1,2,1,-1,1,1,0,1,2,0,1,2,3,-2,2,2,4,4,4,-1,3,1,0,3,4,1,-3,1,1,1,2,0,0,-1,1,1,2,-1,3,2,2,0,2
"69",1,1,-1,2,1,-1,1,1,3,-1,-1,0,2,0,1,0,-1,0,0,3,1,1,0,1,1,0,1,2,-1,2,2,3,1,1,0,0,-1,1,1,0,1,1,-1,0,-1,-1,1,0,1,0,1,1,1,1,-1,1,2,2,-1,2
"70",4,3,3,4,3,4,3,4,4,4,3,4,4,2,4,4,4,3,4,4,4,4,4,2,4,4,3,4,3,4,3,4,4,3,4,4,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,2,4,4,3,2,3
"71",2,2,3,0,-4,1,3,-2,4,3,2,-2,-4,1,-3,-3,-4,-3,1,2,-1,3,-4,2,1,-1,1,-1,-2,2,4,-3,2,4,-4,0,-4,-3,1,4,-2,-3,-3,-2,1,-1,0,3,0,-2,1,-1,-1,1,-2,0,4,-2,0,-3
"72",3,3,-1,-2,0,2,2,1,0,2,1,2,0,-2,2,0,2,-1,3,-1,0,3,3,2,0,3,0,-2,-1,4,-4,2,3,1,3,4,0,2,3,1,2,4,1,-4,-1,-1,2,3,4,-2,3,4,1,3,-3,0,2,-2,-1,3
"73",2,3,3,3,3,0,3,3,2,3,3,2,3,3,2,4,3,3,4,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,4,3,3,2,3,3,2,2,3,2,3,4,2,3,3,4,3,3,3,3,3,2,4
