"","Amaura_Liking_response","Axew_Liking_response","Beheeyem_Liking_response","Bergmite_Liking_response","Carbink_Liking_response","Chespin_Liking_response","Cosmog_Liking_response","Cottonee_Liking_response","Cranidos_Liking_response","Deino_Liking_response","Drampa_Liking_response","Drilbur_Liking_response","Duosion_Liking_response","Eelektrik_Liking_response","Espurr_Liking_response","Fomantis_Liking_response","Foongus_Liking_response","Frillish_Liking_response","Froakie_Liking_response","Gastrodon_Liking_response","Golett_Liking_response","Goodra_Liking_response","Goomy_Liking_response","Gourgeist_Liking_response","Grubbin_Liking_response","Inkay_Liking_response","Jangmo_Liking_response","Kricketot_Liking_response","Larvesta_Liking_response","Lillipup_Liking_response","Magearna_Liking_response","Manaphy_Liking_response","Meowstic_Liking_response","Mienshao_Liking_response","Minccino_Liking_response","Oshawott_Liking_response","Palpitoad_Liking_response","Petilil_Liking_response","Phantump_Liking_response","Poipole_Liking_response","Ribombee_Liking_response","Rowlet_Liking_response","Scatterbug_Liking_response","Scraggy_Liking_response","Shellos_Liking_response","Shelmet_Liking_response","Sliggoojpg_Liking_response","Snivy_Liking_response","Spritzee_Liking_response","Stunfisk_Liking_response","Swadloon_Liking_response","Togedemaru_Liking_response","Tympole_Liking_response","Uxie_Liking_response","Venipede_Liking_response","Victini_Liking_response","Virizion_Liking_response","Wimpod_Liking_response","Yamask_Liking_response","Zorua_Liking_response"
"74",2,1,-2,1,0,2,-4,2,2,0,2,1,2,-2,1,2,0,1,2,1,1,2,-1,1,1,2,1,1,1,4,-4,3,3,2,4,1,1,3,-1,0,3,3,-1,1,2,2,-2,2,1,3,1,4,2,-1,-1,3,2,-1,-2,-1
"75",2,2,-2,1,0,4,1,0,1,2,1,4,4,-2,3,1,2,-1,1,1,1,3,-1,1,1,3,1,2,0,2,-1,4,2,-1,3,2,-2,1,-2,-2,3,3,2,1,3,-2,2,1,3,1,-2,2,-1,0,0,2,1,-2,-2,1
"76",0,4,1,-4,0,4,4,-2,2,3,4,3,1,0,4,0,1,3,4,4,0,4,3,4,0,0,0,1,0,2,4,2,0,4,3,4,4,4,3,0,2,3,0,2,3,3,4,4,3,-3,-1,0,-1,3,3,-1,4,0,4,4
"77",1,-2,-4,-2,-2,1,0,0,-3,-2,-4,1,0,-4,3,2,-1,1,-3,-3,0,-3,-1,0,-4,-4,0,-4,-3,3,-3,0,-2,-1,3,0,0,2,-4,0,-4,0,-4,-4,2,-2,-2,-2,-4,-4,1,3,-2,0,-4,0,2,-4,-4,3
"78",4,2,-4,0,-2,0,-3,0,0,1,0,1,1,-4,4,-2,4,-1,2,0,-4,2,4,-4,-3,4,0,2,-3,4,-3,4,-1,1,4,2,0,4,-4,-3,4,4,-2,-3,3,-3,-2,-1,1,-1,0,4,0,-1,-4,2,0,-1,-3,-2
"79",3,0,-1,0,1,3,4,2,2,2,0,3,2,-2,1,2,2,1,2,2,2,1,0,-3,-1,3,-1,1,-1,3,-4,4,-1,1,3,2,3,1,-1,-2,2,4,-2,-2,1,2,-3,1,0,1,-1,4,2,1,-1,3,2,-2,-3,0
"80",3,2,4,3,2,4,3,-2,4,3,4,1,4,-3,2,0,2,-3,4,3,3,-1,-3,0,-2,3,4,-4,-2,4,4,2,1,2,2,1,1,1,3,1,2,4,0,3,1,2,-4,3,1,-2,3,4,2,2,-1,2,4,2,-2,1
"81",0,0,-4,2,3,1,3,0,-1,2,1,1,0,0,0,0,0,1,2,3,3,0,2,1,-2,1,1,2,0,3,0,0,2,1,2,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,-1,2,3,4,2,0,-3,1
"82",3,1,-1,1,0,3,0,1,0,2,2,1,-1,-2,-1,2,3,-1,3,0,-1,1,0,0,1,0,2,2,-2,2,0,3,3,1,2,1,0,0,0,-1,1,1,0,0,0,1,1,1,2,0,-1,2,1,1,-3,2,2,-1,1,2
"83",1,-2,-4,-4,-3,4,-4,2,-4,-3,-3,-2,2,-3,4,1,3,-2,-2,-1,-3,0,0,-3,-1,2,-2,-3,-4,4,-4,3,4,1,4,1,-4,4,-4,-1,4,3,-3,-4,1,-1,1,2,2,0,2,2,0,2,-4,4,2,-4,-2,-2
"84",4,2,-2,4,-2,3,2,3,2,2,-3,2,1,-3,3,4,3,-2,-3,2,2,-1,2,-2,-2,4,-2,-1,-3,3,0,4,4,-3,4,-2,3,3,-3,-3,2,3,2,0,2,-2,3,-1,3,-1,3,4,1,1,-2,2,2,0,1,-1
"85",0,2,0,0,0,2,3,1,1,0,0,1,0,-1,0,-1,-1,-1,-1,-2,0,1,0,0,0,1,1,1,-3,3,1,2,0,0,2,4,-2,0,-1,0,1,4,0,2,1,0,-1,0,0,-2,0,3,0,1,-2,1,1,1,-2,1
"86",4,0,0,0,0,4,0,0,4,3,0,4,0,0,2,0,4,0,0,0,0,4,0,4,0,3,2,0,0,0,0,4,0,1,4,-1,4,0,0,0,4,2,-2,-1,4,0,3,2,0,0,-3,0,0,0,-3,4,4,0,0,3
"87",0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,-1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,0,1,1
"88",4,-2,1,1,0,4,3,-1,-2,4,-1,1,0,0,3,3,1,2,1,1,-2,3,2,2,-4,3,-2,3,-4,1,-2,3,0,3,2,1,-1,2,-3,0,2,3,-1,0,3,-1,3,3,1,0,-1,1,1,2,-4,1,3,-2,-1,-3
"89",1,0,-2,0,2,1,0,2,1,1,0,2,-1,-2,2,1,0,-1,2,0,2,3,-1,-2,1,1,0,0,-1,1,0,2,3,2,3,-1,1,1,-2,-2,1,2,-1,-2,1,1,1,1,0,-2,1,3,1,2,-2,3,2,-1,-1,0
"90",1,3,-3,-2,-1,-3,-1,-1,3,1,2,1,1,-2,3,2,-2,-2,1,2,-2,1,-3,-4,-4,-3,-1,1,-3,3,-3,4,3,1,4,3,1,4,-3,-4,1,3,-4,-2,4,-1,-3,4,0,-2,-1,3,3,4,-3,2,2,-2,-3,3
"91",4,1,0,2,3,3,4,3,4,0,4,4,3,3,2,2,3,2,4,2,3,4,-2,0,2,3,3,0,-1,3,4,0,3,4,3,2,3,1,-2,2,3,3,0,3,3,0,2,4,3,0,-1,4,3,3,3,3,2,1,0,0
"92",4,1,-1,0,-1,-1,0,4,3,0,3,2,0,4,-2,1,3,2,3,2,0,2,4,0,-2,1,0,2,4,4,1,3,4,4,4,0,4,2,3,-2,2,1,0,0,3,3,-4,4,2,-2,0,1,2,0,1,0,4,3,1,4
"93",4,3,-4,-2,-2,4,2,1,-2,3,3,4,-1,-3,3,2,1,-1,3,-3,-4,2,1,-4,-1,4,-2,-1,-3,3,1,4,3,4,3,-1,-1,2,-4,4,4,4,-1,-3,3,-4,0,3,-2,0,-3,4,4,0,-4,1,3,-1,-2,1
"94",3,1,4,3,3,3,1,0,3,3,3,2,-1,-3,3,1,2,2,2,2,0,2,-3,2,3,1,4,2,3,2,2,1,4,2,1,3,3,0,3,2,4,3,2,4,2,1,2,3,1,4,4,1,1,1,3,1,1,2,3,2
"95",4,-2,1,-2,2,1,-3,-2,-3,1,-1,2,1,-2,1,0,2,-3,1,-2,1,2,0,-1,-2,2,1,0,-2,4,-2,4,2,1,4,1,-1,2,-3,-1,3,4,-3,-3,3,-3,-3,3,1,0,1,4,3,1,-4,4,-1,-3,-3,-3
"96",-4,-3,-3,-3,-4,-3,-4,-4,-3,-4,-4,-3,-4,-4,-3,-4,-2,-4,-3,-3,-4,-3,-4,-4,-3,-2,-4,-3,-3,-3,-3,-3,-2,-3,-3,-3,-4,-4,-4,-4,-3,-4,-3,-3,-3,-3,-4,-4,-4,-4,0,-4,-2,-3,-4,-4,-4,-4,-4,-1
"97",3,0,0,0,-1,3,0,1,2,2,3,0,4,0,1,-2,0,0,-1,0,2,0,0,-1,-1,1,1,3,0,3,0,0,3,1,3,0,-1,3,3,1,1,1,0,-1,-1,1,-2,2,0,-2,0,2,2,1,-3,0,2,-1,3,3
"98",4,-3,-4,-3,-1,3,-2,3,-2,3,2,2,4,-4,2,4,-1,-2,1,-1,-2,2,2,-3,-3,4,-1,0,-3,4,-2,4,4,3,4,4,-1,4,-3,-2,4,2,-2,-2,0,1,-1,1,2,-2,-2,4,0,3,-4,-1,3,-4,-3,1
"99",2,1,-1,0,1,3,2,0,-2,-3,2,4,4,-3,3,1,1,2,2,2,-3,1,2,-2,-2,3,0,0,-2,4,-3,3,3,2,3,3,2,3,-2,-2,4,4,2,-1,3,0,0,2,2,2,2,4,2,0,-3,3,2,0,-1,0
"100",2,0,0,-2,1,3,0,-1,1,1,0,0,-1,0,0,1,-2,-3,2,1,3,-3,-2,-4,0,2,1,0,1,3,2,1,0,0,0,2,-1,3,0,2,1,1,1,1,0,1,4,1,1,-2,2,2,0,1,-2,1,0,0,-1,0
"101",4,4,0,4,3,2,4,2,1,0,2,0,3,1,2,0,1,4,1,4,2,3,1,1,0,1,-1,-2,1,4,2,4,4,1,2,4,2,2,1,3,4,4,-1,1,2,0,1,4,4,2,2,4,2,2,0,4,4,-1,0,0
"102",2,3,3,1,2,3,4,2,4,1,-2,2,2,-1,3,1,-1,1,3,1,4,2,1,1,1,3,2,0,-1,4,3,4,2,1,3,3,0,0,2,3,1,1,-1,1,1,1,0,2,1,-2,1,3,1,4,-2,3,2,-1,1,3
"103",4,3,2,3,4,3,4,0,3,3,4,1,2,2,1,0,1,4,2,2,4,3,1,2,2,1,4,0,4,1,4,4,3,3,1,4,-1,2,3,4,0,4,-2,1,3,3,2,4,3,-1,1,2,2,4,1,4,4,1,3,4
"104",2,2,-2,0,1,3,0,1,-1,-1,1,3,3,-2,3,1,1,-1,2,1,2,2,2,-2,2,3,-2,-1,-2,2,1,3,3,1,2,3,-1,3,-2,-3,2,3,0,2,1,-1,0,3,2,-1,0,2,2,3,-3,2,3,-1,-2,-2
"105",3,-2,-4,3,-3,3,-3,-2,4,2,-2,4,2,-4,0,1,-3,-3,-2,2,3,2,-4,-3,-3,4,3,-2,1,4,4,3,3,2,3,-4,1,3,-4,3,3,3,-4,-3,-3,2,1,0,3,-1,-4,4,-3,-3,-3,3,3,-3,-3,4
"106",4,0,0,0,0,0,2,3,-4,0,2,0,0,-4,4,4,1,4,0,-4,0,4,2,0,0,0,0,2,0,4,4,4,0,0,4,0,0,2,0,0,4,4,0,0,0,-4,2,2,0,0,3,4,2,0,-4,4,4,0,-4,0
"107",3,4,-4,-2,3,2,-1,3,-2,4,-3,2,2,-4,2,1,4,-1,1,1,-1,3,3,-3,-3,3,1,-1,-4,1,-4,3,3,3,3,2,2,2,-4,-4,4,4,1,3,2,3,3,3,-1,-3,0,4,2,1,-4,-2,-3,-2,-4,-1
"108",1,3,2,2,-1,3,3,3,3,4,0,2,2,3,1,0,3,3,3,4,1,3,2,2,0,3,3,3,2,3,2,4,0,1,2,4,4,1,3,2,1,3,1,3,4,1,2,3,3,1,0,3,4,4,4,3,2,2,2,2
"109",1,1,-1,0,-1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,-1,2,0,1,1,1,2,2,1,1,-1,0,1,2,0,1,1,0,1,1,1,0,0,1,2,1,-1,1,1,0,-1,1
"110",2,-2,-3,-2,2,1,4,4,-4,-2,4,4,1,1,4,-1,4,4,2,-1,-3,1,2,-2,-1,4,-3,2,-4,4,-2,4,2,3,3,2,3,4,-3,-3,1,4,-1,0,4,2,2,1,0,-3,-3,4,2,2,-4,1,2,2,2,-2
"111",4,4,-3,-2,-1,3,-3,2,-2,2,2,4,3,1,-1,-3,-1,-3,1,-1,-1,2,1,-4,4,4,3,-3,-4,4,-3,3,2,2,4,4,4,-2,-4,-2,4,4,-1,-2,4,-1,-3,4,3,4,-1,3,4,-3,-3,4,4,-3,-4,-3
"112",0,0,-2,0,1,2,0,0,0,-1,0,4,0,-1,1,0,0,1,4,0,-1,3,4,-2,-2,2,0,0,-2,4,-1,1,4,1,2,0,0,2,-2,-3,1,3,-1,0,2,1,0,1,1,0,0,3,2,0,-3,4,2,1,-2,0
"113",-3,-1,-3,0,2,2,2,-1,-1,-4,3,-3,-3,-1,2,-4,3,-4,-4,-2,0,-3,3,-4,1,-2,-2,-4,-4,2,-2,-3,-4,-4,-1,-1,-4,-2,-2,-3,-4,1,-2,-1,-3,-2,-3,-4,-2,-3,1,2,-3,-3,0,-4,-3,0,-3,1
"114",3,1,-3,0,0,3,-1,-1,-2,-1,-1,3,1,-3,3,4,3,-1,1,0,-1,-3,3,-3,-1,4,2,2,-3,4,-1,2,4,4,4,-2,-1,4,-2,-3,2,1,2,-2,2,-2,-2,4,-1,-1,-1,3,1,1,-1,1,1,-1,1,1
"115",3,2,-2,-2,1,0,-2,2,1,1,0,2,-1,-3,2,3,1,0,0,-2,1,2,0,-3,-2,1,0,-1,1,3,-2,2,1,1,-1,0,2,2,-2,-2,-1,1,2,-3,2,-2,-1,-2,1,-3,0,4,0,3,2,3,3,-3,0,3
"116",3,0,-4,0,-1,1,-3,2,-2,1,0,3,1,-3,2,0,1,0,0,1,-3,2,2,-2,-1,2,1,0,-2,1,-2,2,1,0,1,0,1,1,0,-3,2,1,0,-1,2,-2,1,0,-1,0,0,1,1,0,-2,3,1,0,-2,-3
"117",2,2,-2,-1,-1,3,2,1,-2,1,2,3,0,-3,1,1,-1,-1,1,1,1,2,1,-3,1,1,1,2,1,1,-2,2,2,2,2,3,-2,1,-2,0,2,2,-2,1,3,1,-2,1,1,1,-1,3,1,2,-3,2,2,-1,-2,-2
"118",3,2,0,1,0,3,1,1,0,2,1,3,0,0,1,1,0,0,0,0,0,2,1,-1,0,2,1,1,-1,1,0,3,0,1,2,1,-1,2,-1,-2,3,1,1,1,2,0,2,-1,1,1,0,3,1,0,-1,4,0,-1,-1,-1
"119",1,1,1,0,0,1,-1,0,0,2,0,0,1,0,0,0,-1,0,2,0,0,-1,1,2,0,0,1,0,1,0,0,4,2,2,-1,2,-1,2,3,-1,4,2,0,-2,0,-1,0,1,-1,-1,1,0,0,4,4,3,1,0,0,1
"120",1,1,1,1,0,2,0,0,2,2,1,2,1,-1,0,0,0,-2,-1,0,3,1,0,1,0,1,-1,0,-1,0,0,2,0,-2,2,-2,2,0,-1,1,1,1,-2,-1,1,-1,2,0,0,-1,-1,1,1,-1,-1,3,2,-2,-1,-2
"121",1,-3,-4,-2,-2,1,-2,-3,-3,-3,-4,-3,-2,-4,1,-2,0,-2,-1,-2,-2,-4,-1,-4,-4,-1,-3,-2,-4,1,-2,-1,-2,-2,-3,-1,-1,0,-3,-3,1,0,-3,1,0,-2,-3,-3,-1,-2,-2,2,-3,-4,-4,-1,-3,-4,-3,-2
"122",1,2,3,3,4,1,3,3,2,2,3,1,4,4,2,2,4,4,4,3,2,1,4,2,4,3,2,2,4,2,3,1,2,2,1,1,1,3,4,2,2,4,3,3,2,3,4,3,2,4,4,2,4,1,3,1,1,3,3,2
"123",4,2,-3,-2,0,3,-2,2,-3,-3,3,0,1,-2,2,3,3,-2,3,2,-2,3,0,-2,2,3,2,1,-3,3,2,3,1,2,4,3,2,3,-3,3,3,4,0,2,4,0,3,2,0,0,0,4,0,4,-4,0,4,-3,-2,-2
"124",1,1,-2,3,2,0,2,-1,-2,-3,-3,-2,-4,-1,-3,2,-4,3,-4,1,2,-2,-4,-1,-2,-1,-1,-1,-4,3,3,3,3,-2,3,-1,-3,1,-1,4,2,-3,-2,-4,1,-2,1,1,2,-4,2,-3,-3,-2,1,-3,4,0,-4,1
"125",2,1,0,0,0,1,0,-1,0,-2,0,2,-3,-2,1,2,-1,1,3,0,-1,2,1,1,1,0,0,0,-2,2,-2,4,3,1,3,-1,1,0,1,0,1,0,0,1,2,-2,2,0,0,-1,-1,-1,1,2,0,4,0,2,-3,0
"126",4,1,-2,-2,1,2,1,1,0,2,0,4,2,-3,2,1,4,2,1,2,2,2,-2,2,0,2,2,3,-3,3,1,4,4,3,4,3,3,1,4,-3,1,3,-1,1,1,1,-1,4,0,0,1,4,2,3,-2,1,2,-3,1,3
"127",4,4,2,2,4,2,4,2,4,3,0,0,3,3,4,4,3,4,0,2,4,3,1,0,4,3,3,-3,3,0,4,4,4,3,2,0,-2,3,3,4,3,1,2,0,3,1,0,2,4,2,2,0,3,4,-1,2,3,1,-4,3
"128",3,-4,-4,-1,-2,4,-4,-3,-2,1,4,4,-2,-4,-3,-3,3,-3,1,0,-3,-3,-4,-3,-3,4,2,4,1,1,1,4,2,-4,4,-2,1,1,-4,-3,-3,4,-4,1,3,-2,-2,-1,-3,-2,-2,-2,3,-1,-2,4,1,-2,-3,-2
"129",3,3,1,1,2,3,3,2,2,3,1,2,1,3,2,0,2,2,3,3,2,3,3,2,1,2,2,3,2,3,1,4,3,2,2,3,3,2,2,0,2,3,2,2,4,1,0,3,3,1,2,2,3,4,3,3,4,1,3,3
"130",3,4,-2,-2,2,4,4,3,1,3,2,4,2,-2,3,4,3,2,4,3,2,4,4,-1,1,2,1,3,-1,4,1,4,1,2,4,4,-1,4,-1,-2,3,4,-1,4,4,2,1,4,3,3,4,4,2,1,-3,4,3,-3,-1,-1
"131",0,4,3,4,2,2,4,-2,4,4,1,3,4,-4,2,2,4,-1,2,-2,2,-3,1,-2,1,-3,0,3,-2,4,-4,4,4,2,3,3,1,-1,-3,-2,2,-3,-2,1,4,2,-1,3,2,0,3,2,2,4,-4,3,4,-4,-3,1
"132",4,2,-1,2,3,2,4,4,2,-1,2,-2,4,3,4,2,0,2,-1,3,2,3,3,3,3,1,0,0,0,3,2,4,4,2,3,2,1,2,4,1,2,4,1,2,1,-2,2,2,3,-3,1,1,2,3,-2,2,2,-1,-2,1
"133",2,1,-1,-1,2,1,1,-1,-1,3,-3,3,3,-4,3,1,1,-1,1,1,-3,2,2,-2,-1,2,2,1,1,4,1,4,1,0,4,1,2,3,-4,0,4,1,-1,-1,1,-1,3,2,1,-2,0,4,2,0,-3,2,1,-2,-2,2
"134",3,-1,-4,-2,-1,1,2,0,-4,-3,2,1,1,1,4,2,4,-1,1,2,-4,0,0,-3,-2,3,0,0,1,3,-4,3,2,0,4,3,-1,2,1,-2,3,4,-2,1,3,0,1,1,3,-2,0,3,-3,-2,-3,-2,3,0,-4,0
"135",-1,1,0,0,0,2,1,0,0,-1,0,0,1,-1,-1,1,1,1,-1,1,1,2,0,-1,0,0,0,0,1,1,-2,2,0,0,1,0,0,1,3,1,2,3,-1,-1,1,0,-3,0,2,0,0,1,0,0,0,1,2,1,0,2
"136",3,0,-3,-1,-2,3,0,1,-2,0,-2,2,2,-2,0,1,-2,0,-1,-1,-3,-1,1,-3,-2,2,-1,-3,-4,2,-3,3,0,-2,3,1,-2,4,-2,-3,2,3,-1,-2,3,-3,-3,0,-1,-4,-1,3,2,-1,-3,-2,1,-4,-4,-1
"137",4,1,-3,-2,-2,2,2,-2,-4,-2,-1,0,-2,-4,-1,0,1,-3,0,-1,0,1,4,-3,-2,1,-1,0,-4,4,-4,1,3,1,4,4,2,1,-4,-3,3,2,-2,2,-2,0,-3,0,-1,-3,-1,2,-2,-3,-3,-1,3,-3,0,-4
"138",3,1,-1,0,0,4,3,2,2,1,4,1,2,-4,0,3,2,0,0,0,3,0,0,2,-1,3,-1,1,-4,3,0,3,2,2,3,2,-2,4,1,0,4,4,-1,1,0,0,1,3,0,0,2,4,2,2,-3,4,2,-3,-2,-3
"139",3,0,-2,2,2,2,-2,1,-2,3,3,3,3,-2,1,3,3,0,2,3,0,3,0,-3,2,3,2,2,2,4,-2,3,3,3,3,3,3,3,-2,2,3,3,1,2,3,0,0,0,3,0,1,3,3,0,2,3,3,-1,0,-1
"140",4,-4,-3,-1,0,1,-2,-1,1,3,1,3,0,-3,1,1,1,-2,2,-2,-2,-2,0,-3,-1,4,-2,1,-1,2,1,4,2,2,3,-3,-1,3,-3,-3,2,3,0,-3,3,1,-2,1,-2,-1,-2,-3,-1,0,-1,3,1,-1,-2,-1
"141",1,3,-2,0,3,4,0,-2,-2,2,-1,4,0,-3,2,1,2,-1,0,2,0,-2,4,-3,-1,3,1,3,-2,4,0,2,1,2,4,3,1,3,0,0,2,4,-1,1,0,-1,-1,3,2,-2,1,3,3,1,-4,1,1,-3,0,-1
"142",2,1,1,1,2,0,4,1,0,0,0,0,2,-2,1,0,2,2,-1,2,0,-2,-1,1,0,0,0,3,-1,1,1,2,1,1,1,2,-3,1,0,0,1,2,-2,-1,3,3,-2,3,3,-2,3,2,1,2,-1,0,1,-2,-1,2
"143",3,3,-2,-2,-1,1,3,-1,2,2,0,2,3,-3,4,3,1,-2,2,1,-3,-1,1,-4,1,2,0,1,-1,1,1,2,3,1,4,2,0,1,-1,-4,0,1,-2,-2,3,0,-1,1,1,1,0,3,4,2,-4,2,2,-3,-4,-2
"144",3,1,-3,1,2,4,1,-1,-3,1,1,4,1,-4,2,2,1,-2,-2,3,-3,2,3,-3,-1,4,3,2,1,4,0,4,-2,2,4,-1,2,3,-4,0,3,4,-2,-1,2,-4,2,-3,3,-2,-3,4,1,2,-3,3,0,-2,-4,-3
"145",3,0,1,2,0,4,-1,3,3,3,3,4,2,-2,3,0,3,2,1,3,0,3,3,2,2,3,3,1,1,4,3,4,0,2,4,4,3,1,2,2,3,3,2,-2,2,3,2,3,-1,-1,-4,3,3,2,0,4,2,2,1,2
"146",1,1,0,0,-1,0,-1,-1,2,0,1,1,1,-2,2,-2,0,-1,1,1,0,2,3,2,-2,0,-1,1,0,-2,-1,0,0,0,-1,1,-2,-1,2,-3,2,4,0,-2,0,-1,2,1,-1,0,-1,-1,-1,0,-1,0,0,-1,0,0
"147",2,2,1,0,1,3,1,2,3,1,-1,1,1,1,1,-2,1,-1,1,3,-1,1,2,0,1,2,1,4,-1,1,-2,3,0,0,1,3,-1,2,-1,1,1,2,0,1,4,1,-1,3,2,1,-1,3,3,3,-2,1,1,0,-2,0
"148",0,-1,-1,-3,-2,1,-1,1,0,-2,1,0,0,3,-1,0,0,1,0,0,1,0,3,1,0,0,0,-1,0,-1,0,2,-3,0,1,-3,-3,0,-3,0,2,1,-2,1,2,-3,-2,0,-2,2,0,0,2,1,0,0,-1,1,-3,0
"149",3,0,-2,-3,-1,1,-4,0,-3,-3,1,2,2,-4,2,2,1,-3,2,3,-4,0,2,1,-2,4,-3,-2,-2,2,-2,4,3,-2,3,0,2,2,-3,-3,2,2,-3,-1,3,-3,2,-1,0,-2,-1,2,1,2,-3,-1,0,-3,-4,-4
"150",2,-2,-3,3,2,1,1,0,-1,2,0,3,2,-3,3,0,1,-1,0,3,0,1,0,-4,0,3,-1,1,0,4,3,4,4,-1,4,0,0,3,3,-3,3,3,1,1,1,-3,3,-3,0,0,-2,3,0,0,-4,2,-2,-3,0,-1
"151",2,4,-1,-1,2,4,2,2,2,2,0,3,-1,-3,3,0,-2,-2,3,3,-1,2,4,1,1,4,2,2,-3,3,-3,0,0,1,4,3,-2,3,-1,-3,4,3,-1,1,3,-1,1,0,-2,0,-4,3,-1,3,0,4,2,-4,0,4
"152",4,4,-3,-2,3,4,3,0,4,4,4,3,2,0,2,2,-1,2,4,3,3,4,3,4,2,3,3,-2,1,4,-2,3,3,3,2,3,-1,-1,4,2,1,4,-1,2,-1,-1,3,3,1,-4,-1,2,1,3,3,3,4,4,-1,4
"153",4,3,1,-2,-2,3,1,3,2,3,1,3,1,-1,2,1,3,2,3,1,2,-3,1,0,2,2,2,1,1,3,1,2,1,3,2,4,-2,1,-2,1,2,0,2,-1,1,2,1,3,3,2,2,1,1,-2,2,2,2,-3,-1,2
"154",4,-2,-4,0,1,1,3,-1,-2,-4,0,-1,2,0,0,2,4,4,0,4,-2,1,3,-2,-3,1,-2,2,-3,4,1,4,2,-2,2,2,2,3,-1,-2,2,2,0,-1,4,-1,1,-1,3,-2,2,3,0,0,-4,0,-1,-2,-2,-2
"155",0,1,0,0,0,1,0,1,0,-1,0,1,1,-1,2,1,0,0,0,0,-1,0,2,1,-1,1,0,0,-2,2,-1,1,2,1,3,2,-1,1,1,-1,0,1,-2,0,1,-1,1,0,0,0,3,1,-2,1,-2,1,1,-1,0,1
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
