ResponseId;bergmite_liking_1;begmite_familiarity_1;carbink_liking_1;carbink_familiarity_1;cosmog_liking_1;cosmog_familiarity_1;cranidos_liking_1;cranidos_familiarity_1;frillish_liking_1;frillish_familiarity_1;golett_liking_1;golett_familiarity_1;gourgeist_liking_1;gourgeist_familiarit_1;grubbin_liking_1;grubbin_familiarity_1;jangmo_liking_1;jangmo_familiarity_1;kricketot_liking_1;kricketot_familiarit_1;magearna_liking_1;magearna_familiarity_1;palpitoad_liking_1;palpitoad_familiarit_1;phantum_liking_1;phantum_familiarity_1;scatterbug_liking_1;scatterbug_familiari_1;scraggy_liking_1;scraggy_familiarity_1;shelmet_liking_1;shelmet_familiarity_1;sliggoo_liking_1;sliggoo_familiarity_1;swadloon_liking_1;swadloon_familiarity_1;wimpod_liking_1;wimpod_familiarity_1;zorua_liking_1;zorua_familiarity_1
R_3O2lMYBUok2RTcM;;;3;1;4;0;-4;1;0;5;-3;0;-3;0;-3;5;1;0;3;8;-1;1;2;3;-2;0;-1;0;1;5;2;0;0;2;0;0;-3;0;-1;5
R_1KlhxiIkM9EIZxj;2;4;-2;3;3;6;3;7;-4;1;3;6;-2;3;2;5;2;3;3;6;;;2;4;3;5;-2;1;4;8;3;5;-3;1;-2;3;1;3;-2;3
R_2dMDCjGMgiMUCkW;2;2;3;2;2;1;-2;0;-3;0;2;1;;;-4;0;-3;1;-2;1;-4;1;-3;0;2;1;2;4;0;1;-2;1;4;3;2;1;-3;0;1;2
R_33sz9p3Tt5CaO0l;1;3;1;6;2;3;;;-2;4;2;3;1;5;0;6;-1;7;3;7;-2;5;2;6;1;5;-3;5;2;5;-1;3;1;6;-2;5;-3;6;3;8
R_1isX9UrSqcEDcH2;0;0;3;3;4;2;-2;1;2;2;-3;0;-1;1;-1;0;;;-2;0;-1;1;1;1;1;0;-1;1;1;2;-3;0;0;0;-2;0;-1;2;-3;0
R_1GNB8kPHRYvBqBz;3;4;4;5;3;2;-1;2;2;3;3;5;0;0;-2;3;3;2;2;1;2;0;2;3;;;0;3;3;3;1;4;4;4;1;5;1;4;3;4
R_CkRKVgYF9i6AP3r;3;2;3;8;4;8;4;8;;;1;2;2;8;-1;1;2;3;4;8;2;3;1;1;-2;3;-2;1;4;3;0;2;1;2;2;3;0;1;4;8
R_2V2cqQ640kzDtST;-2;1;-3;1;-4;0;3;7;-3;1;-3;3;-1;5;-3;1;2;7;-1;1;-1;1;2;7;-3;2;-3;1;;;-2;1;2;6;-2;2;-2;3;1;6
R_3249Eetw3OPhU7q;-4;1;1;5;-1;6;2;2;-4;1;-2;2;3;6;3;6;0;4;0;4;-4;0;3;5;-2;2;-2;3;-3;1;;;3;6;-2;5;-1;2;2;3
R_3EQEDIDhs7WyuCx;1;3;0;0;3;6;-2;2;1;2;;;3;6;2;6;2;3;-1;2;1;4;0;4;2;5;-1;1;2;2;0;0;-1;1;-1;2;-1;1;4;6
R_5vj5lKPsEaRS67T;0;0;0;0;0;0;-2;0;1;0;1;0;1;0;-1;0;1;0;2;0;2;0;-1;0;0;0;0;0;0;0;2;0;1;0;;;-1;0;-1;0
R_d5ceDZZlthuvL0t;-3;0;-1;0;;;2;0;2;0;0;0;1;0;0;0;-2;0;2;0;-3;0;3;0;-2;0;-2;0;0;0;-1;0;4;0;3;0;-2;0;3;0
R_3iOoeJ7uLntY3Em;-2;4;-1;4;0;4;-3;3;-1;4;2;4;2;4;-1;7;-2;3;3;2;2;4;-1;4;-1;1;-1;3;4;4;-1;7;2;2;-1;8;;;1;8
R_1hLr8W2DyHRYfKy;2;2;3;2;0;2;-2;3;-1;2;-2;1;-1;2;-1;1;0;2;2;1;1;1;-2;1;-1;1;;;1;2;-1;1;4;2;-2;1;0;1;2;6
R_28IB2IVpjkRYM8c;0;1;2;0;4;8;4;8;3;5;;;-3;0;3;8;3;1;3;8;4;8;0;0;0;8;-1;0;3;6;4;8;1;1;2;1;0;2;2;3
R_3G6CR6dbAn0Dgz4;0;0;0;0;-2;3;-4;5;-4;6;-3;0;-3;6;;;0;0;-3;6;-3;8;-3;5;-3;1;-3;7;1;0;-1;6;-1;2;-1;0;-4;5;-2;4
R_2OPTUvxS1wc0PLW;1;3;1;1;-2;4;1;3;2;3;-1;5;-2;1;1;1;1;5;4;3;;;-1;0;-3;1;-2;1;0;2;1;1;0;1;2;1;0;1;3;1
R_3NL3Ze1ZwCtIf0C;-1;4;-3;5;;;-4;4;1;3;-2;5;0;5;-4;4;-2;7;2;6;-4;3;3;6;1;3;2;5;0;2;1;5;2;4;4;7;-3;5;-1;4
R_3EL24J6aduv98rP;1;5;2;5;1;4;1;7;2;5;2;4;2;5;-1;5;;;2;6;1;5;1;5;1;6;-1;3;-1;3;0;4;2;6;-1;3;-2;4;-3;5
R_yNP1BdrQq8FXboJ;2;0;1;0;-2;0;-3;0;2;0;-2;0;-1;0;-2;0;1;0;0;0;-2;0;;;-1;0;-1;0;2;0;1;0;3;0;2;0;-2;0;-3;0
R_1IWvYAXfMrnL6py;1;4;;;-1;8;3;7;2;6;0;5;3;8;2;8;3;8;1;6;1;7;-2;5;4;8;-1;7;-1;6;-1;6;-1;6;-1;5;1;7;2;8
R_2urL6Y8YvGsOtXI;1;1;2;0;-1;0;-2;1;0;1;1;2;-3;0;0;1;-1;2;0;1;0;1;0;0;-1;0;0;1;;;-1;0;0;0;-1;1;0;1;-1;1
R_3MgtLzT0UmNo1Ho;1;4;1;1;0;5;-2;5;3;5;-3;2;-1;2;-1;0;-1;0;2;6;-1;2;2;0;-1;1;-1;3;2;1;0;0;2;5;-1;1;;;1;5
R_ToUJIResRRZSo13;-1;1;3;0;3;0;-2;0;2;0;-2;0;-1;0;3;0;2;0;3;0;3;0;2;0;-3;0;-1;0;1;0;;;3;0;2;0;-1;0;2;0
R_2cpxMirF31rHBw8;1;0;1;0;4;0;-1;0;2;0;0;0;2;0;2;0;0;0;3;0;2;4;3;0;;;3;0;0;0;2;0;0;0;-1;0;0;0;0;0
R_2aXDV0UFVqrwchk;;;0;0;1;0;-2;1;1;0;-3;0;3;0;-1;0;1;0;2;1;-2;0;3;0;-1;0;-1;1;-1;0;0;0;3;2;-2;0;-1;1;2;1
R_DcOgjYo4M5HvFnj;1;1;1;0;-2;0;-2;0;3;1;2;2;0;0;-2;0;;;3;1;0;0;-2;0;-3;0;3;1;2;3;-1;0;1;1;0;0;-1;0;-2;0
R_31YqgdH84TbS9f6;1;0;3;3;0;0;-4;0;;;-2;0;-4;0;-3;0;-2;0;3;0;-3;0;-1;0;1;0;2;0;3;0;-1;0;2;0;4;0;1;0;-2;0
R_x9syIRMXFLV9IDn;-3;0;1;0;-3;0;-4;0;-3;0;-3;0;2;0;-2;0;1;0;-1;0;2;0;3;0;1;0;-1;0;-2;0;1;0;2;0;-2;0;;;-3;0
R_33CO4ePZqleyprW;0;0;2;0;-2;0;-3;0;-1;0;-2;0;1;0;-1;0;-1;0;3;0;-1;0;2;0;-2;0;-2;0;-2;0;1;0;3;0;;;1;0;-2;0
R_wT1iWXfE7tuezlL;-1;0;0;0;3;0;-3;0;1;0;-4;0;-3;0;-2;0;-3;0;3;0;3;0;3;0;-1;0;2;0;1;0;;;3;0;-1;0;0;0;1;0
R_x4LVtqOzlzLquTn;;;-3;2;-2;1;-2;2;-1;2;-3;1;-2;1;-3;0;-3;2;-1;2;-2;2;-1;2;-4;4;0;1;-2;1;-2;2;-1;2;0;1;-3;1;-3;3
R_OBEh31BIba681Mt;-2;1;;;;;;;1;1;-1;1;0;1;;;;;2;1;-1;1;;;;;;;;;;;;;-1;1;;;;
R_3FUJkDraGOyBVdL;;;;;2;2;-1;1;;;-4;3;;;;;;;0;3;;;0;1;-2;2;;;-1;1;;;0;3;;;-2;0;-3;2
R_BY6FKLpyiWwx4Wd;-2;0;;;2;4;-4;3;3;5;-1;3;-3;1;-2;2;-2;6;2;2;-1;2;0;5;-3;1;-3;0;2;4;1;1;-3;3;-2;4;-1;0;-1;6
R_2aS07ocldJUJlSr;;;;;;;;;0;4;;;;;;;;;;;;;;;;;;;;;0;4;;;;;;;;
R_1DTDkD1xllFJdBM;2;2;;;;;2;8;;;;;;;1;8;2;8;;;;;1;8;0;8;;;;;;;;;;;;;;
R_3DhkGDoeQEkXC0C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;
R_3P5IVzMxtM7qOhH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_2Epi13vNZe3yWnW;3;5;4;5;3;1;-1;6;2;4;2;3;1;2;2;4;2;2;;;2;2;;;;;;;4;1;;;4;3;2;2;1;1;2;5
R_3n6F7rirBzWWO5y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3;2;;
R_3qVGD5V6YRM82gT;;;;;;;;;1;1;-3;3;;;;;;;;;;;;;-1;0;-1;4;4;6;0;0;-3;2;3;6;;;;
R_VHZaFAyA4HDJiLf;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_s7EwfxTpaXJuElH;;;;;-1;0;4;7;;;;;;;;;-3;7;;;-2;5;;;-4;0;;;;;;;;;-2;4;;;;
R_2ZE51SFBO7ha68l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_2WGztTBEs4GOY6p;;;-2;0;;;-4;0;;;;;;;;;-2;0;-2;3;-3;0;;;-1;2;;;-1;2;;;;;;;-2;0;;
R_27QLP7UArvqkpsq;1;0;1;0;3;2;2;8;1;0;;;3;3;-1;1;0;2;4;8;-1;0;1;0;1;0;-1;0;-2;0;-1;0;3;0;-1;1;0;0;-2;8
R_3eywgswaWIg2n1g;4;7;4;7;4;7;;;4;7;4;7;4;7;4;7;3;7;3;7;4;7;4;7;4;7;4;7;3;7;3;7;4;7;4;7;3;7;3;7
R_1MSMXibGQbD3VQK;-4;0;1;0;-4;0;-1;0;-3;4;-3;2;;;-1;0;1;4;-2;5;1;0;4;0;-1;2;-3;7;-4;0;2;6;-2;1;-1;2;1;2;-2;0
R_3aZHdmiboNhxtXX;-1;3;4;7;3;6;-3;5;0;1;2;2;1;4;-2;2;-2;5;3;3;3;1;-2;2;-1;3;;;-1;2;1;5;2;2;-1;3;-2;3;2;4
R_sIrmtsqwNxOtDyN;2;5;1;4;;;0;4;-1;3;-1;5;0;6;0;3;0;3;2;4;-1;3;2;5;-2;4;1;4;1;4;-1;4;1;4;2;6;0;4;0;5
R_1hZq1ts3DmIzWv8;0;5;-2;3;-4;2;-1;4;0;2;-2;1;-2;4;-2;3;3;7;2;4;;;2;7;-2;3;-4;2;3;5;2;3;4;4;-3;1;1;2;-2;4
R_3qpLRcALIU7YZxb;3;1;2;1;2;1;-2;1;3;1;3;1;-3;1;2;2;1;1;4;1;1;1;-1;1;-3;1;3;1;0;1;-2;2;;;4;1;0;1;2;1
R_2fsd3KA2a6Yuib7;0;1;2;1;-1;1;2;3;;;2;1;1;1;0;1;2;1;3;3;-2;1;2;1;-1;1;1;1;-2;1;2;1;2;1;3;1;-1;1;1;1
R_8CWApl1GuE4IYRX;2;1;2;0;-2;1;-2;5;-3;2;2;3;-2;2;;;2;5;3;3;1;4;-1;5;-2;3;1;1;3;4;2;4;-3;1;3;3;2;0;-1;1
R_1IWRswkxLqya3DX;;;;;;;;;;;;;;;-2;1;;;;;;;;;;;;;;;;;;;;;;;;
R_2Bs1iOLOgT97cIx;-2;5;3;4;0;3;-4;2;-3;4;-4;4;-3;3;-2;3;1;2;1;3;-2;3;1;3;-4;1;-2;3;;;-2;4;2;3;-1;4;-4;3;-3;2
R_32P9y2PMpZ1ZdnB;3;0;0;0;2;0;-1;0;-2;0;0;0;-2;0;-1;0;-2;0;;;-1;0;-1;0;-1;0;0;0;-2;0;2;0;0;0;-1;0;-1;0;3;0
R_09DvELBz2zFUI9j;-1;0;2;0;4;0;;;2;0;3;0;-1;0;1;0;0;0;-3;0;3;0;-2;0;-4;0;-2;0;-1;0;-2;0;-2;0;-2;0;-3;0;1;0
R_2bH1XLwM4ABQpOr;;;;;;;;;;;;;;;;;;;;;;;;;;;-2;3;;;2;2;;;;;-2;2;0;1
R_24GcjcaPUwGZAaI;-1;0;0;0;0;0;-3;0;0;0;-1;0;2;0;-2;0;-1;0;2;0;1;0;2;0;-2;0;1;0;-2;0;-1;0;3;0;-1;0;-4;0;;
R_R5q862qd5hSpqYV;0;0;0;1;-4;0;2;0;;;-4;0;-1;0;-3;0;1;0;-4;0;1;5;-4;0;2;2;-4;0;-4;0;-4;0;-2;0;-4;0;-2;0;0;0
R_1rwVya56ZmTlwWV;2;0;4;0;;;4;1;1;0;2;0;2;0;0;0;3;0;4;0;2;1;1;0;3;0;1;0;2;0;1;0;2;0;3;0;-1;0;4;0
R_2TmGqyUPfyYkYhp;1;0;2;0;4;0;-2;0;-1;0;2;0;-2;0;3;0;-3;0;3;0;1;0;3;0;;;-1;0;1;0;-2;0;0;0;0;0;-2;0;2;0
R_1LUzrcORxldfXWW;-2;3;2;7;1;3;-1;2;-2;4;1;6;-2;3;-2;1;3;6;3;7;-1;1;0;3;-3;1;-2;1;;;0;5;3;8;-3;1;0;3;2;5
R_6o0JEcUTNODz8yJ;-1;1;;;1;3;-3;3;0;1;3;2;-1;3;-1;3;-1;4;4;5;2;5;-1;2;-4;6;-3;6;0;0;1;0;4;6;-4;2;-3;2;-2;4
R_2pRgd9Jr4X6dfG1;0;3;2;2;4;3;3;6;4;8;2;4;2;1;-4;6;4;4;1;6;0;0;2;2;-2;2;-4;7;2;0;-1;5;-2;6;;;-2;1;4;3
R_2PgUBzbZV8tzjwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;
R_O8T04yXDRIAHWCt;2;6;4;0;4;6;-1;3;3;0;-2;0;2;4;;;-1;1;3;1;1;4;-2;0;3;1;0;0;2;3;1;1;1;0;-2;1;-3;0;1;3
R_3rVbVpbJCsZ4wQV;1;3;4;3;3;2;0;4;1;4;0;3;2;6;-2;4;-1;4;2;6;2;5;3;4;2;2;2;6;1;2;;;4;6;0;6;0;2;0;6
R_1LOvlvK0baJGgF0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_2VqC645Q8jF8cHF;2;1;1;1;2;2;-2;3;1;2;-1;1;2;2;0;2;0;1;2;5;2;1;-2;2;1;2;0;2;1;2;-1;1;;;2;1;0;2;-1;3
R_bxXvxxgSr3sYMut;-1;0;-2;0;1;0;-2;0;3;0;0;0;2;0;-3;0;2;4;3;0;0;0;-2;0;4;0;-3;0;2;0;3;0;4;0;-3;0;;;-2;0
R_3eqaUZy9lqHVoWx;0;0;3;0;1;0;-2;0;1;0;0;0;2;0;-1;0;1;0;2;0;-1;0;-2;0;-1;0;;;-1;0;1;2;-2;0;1;0;-1;0;1;0
